KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
the_concession_to_the_travelers_title;The Concession to the Travelers;La concession aux Voyageurs;Das Zugeständnis an die Reisenden;Koncesja dla podró¿ników;La concesión a los viajeros.;La Concessione ai Nomadi;A koncesszió az utazóknak;Ústup k cestujícím;A koncesszió az utazóknak;De concessie aan de reizigers;A concessão aos viajantes;Êîíöåññèÿ ïóòåøåñòâåííèêàì;Matkustajien myöntämä koncessio;x
the_concession_to_the_travelers_desc;Furtherly going on with the book of Nenemiah Mokkado, he avocates for the creation of a completely independent nation for the Gypsies, called "Gypsyland". Our nation has enough of them to try it. Obviously, $COUNTRY$ will still rein over their heads but ensuring a valuable ally.;Poursuivant avec le livre de Nénémiah Mokkado, il plaide en faveur de la création d’une nation totalement indépendante pour les Tsiganes, appelée "Bohémie". Notre pays en a assez pour l'essayer. De toute évidence, $COUNTRY$ restera au-dessus de leur tête mais constituera un précieux allié.;Mit dem Buch Nenemiah Mokkado setzt er sich für die Schaffung einer völlig unabhängigen Nation für die Zigeuner ein, die "Zigeunerland" genannt wird. Unsere Nation hat genug davon, um es auszuprobieren. Offensichtlich wird $COUNTRY$ immer noch über ihren Kopf zügeln, aber einen wertvollen Verbündeten gewährleisten.;Kontynuuj¹c pracê nad ksi¹¿k¹ Nenemiah Mokkado, poœwiêca siê stworzeniu dla Cyganów ca³kowicie niezale¿nego narodu, zwanego "Cyganiekraine". Nasz naród ma ich doœæ, aby to wypróbowaæ. Oczywiœcie, $COUNTRY$ nadal bêdzie kontrolowaæ ich g³owy, ale zapewni sobie cennego sojusznika.;Además, continuando con el libro de Nenemiah Mokkado, él defiende la creación de una nación completamente independiente para los gitanos, llamada "Gitánia". Nuestra nación tiene suficientes de ellos para probarlo. Obviamente, $COUNTRY$ aún tendrá control sobre sus cabezas, pero asegurará un valioso aliado.;Continuando con il libro di Nenemiah Mokkado, si propugna la creazione di una nazione completamente indipendente per gli Zingari, chiamata "Gitania". La nostra nazione ne ha abbastanza di loro per tentare. Ovviamente, $COUNTRY$ continuerà a tenere a bada le loro teste ma garantendosi un prezioso alleato.;Folytatva a Nenemiah Mokkado könyvet, a cigányok számára teljesen önálló nemzet létrehozására szólít fel, "Cigányokföld" néven. A nemzetnek elég van bennük, hogy megpróbálja. Nyilvánvaló, hogy a $COUNTRY$ továbbra is a feje fölött áll, de értékes szövetségeset biztosít.;Dále pokraèuje v knize Nenemia Mokkada, avokuje za vytvoøení zcela nezávislého národa pro cikáni nazvaného "Cikánùzemì". Náš národ má dost na to, aby to zkusil. Je zøejmé, e $COUNTRY$ bude stále nad hlavou, ale zajistí si cenného spojence.;Folytatva a Nenemiah Mokkado könyvet, a cigányok számára teljesen önálló nemzet létrehozására szólít fel, "Cigányokföld" néven. A nemzetnek elég van bennük, hogy megpróbálja. Nyilvánvaló, hogy a $COUNTRY$ továbbra is a feje fölött áll, de értékes szövetségeset biztosít.;Verder gaat hij verder met het boek Nenemiah Mokkado, hij pleit voor de oprichting van een volledig onafhankelijke natie voor de zigeuners, genaamd "Zigeuneraarde". Onze natie heeft genoeg van hen om het te proberen. Het is duidelijk dat $COUNTRY$ nog steeds over hun hoofd gaat, maar zorgt voor een waardevolle bondgenoot.;Continuando com o livro de Nenemiah Mokkado, ele invoca a criação de uma nação completamente independente para os ciganos, chamada "Cigania". Nossa nação tem o suficiente para experimentá-lo. Obviamente, $COUNTRY$ ainda irá controlar suas cabeças, mas garantindo um valioso aliado.;Ïğîäîëæàÿ ğàáîòó ñ êíèãîé Íıìèèè Ìîêêàäî, îí âûñòóïàåò çà ñîçäàíèå ñîâåğøåííî íåçàâèñèìîé íàöèè äëÿ öûãàí ïîä íàçâàíèåì "Öûãàíçåìëÿ". Ó íàøåé íàöèè äîñòàòî÷íî èõ, ÷òîáû ïîïğîáîâàòü. Î÷åâèäíî, ÷òî $COUNTRY$ ïî-ïğåæíåìó áóäåò îáóçäûâàòü èõ ãîëîâû, íî îáåñïå÷èòü öåííîãî ñîşçíèêà.;Nenemiah Mokkadon kirjaa jatketaan, kun hän pyrkii luomaan täysin itsenäisen kansan romanien puolesta, nimeltään "Mustalainenmaa". Kansallamme on tarpeeksi heitä kokeilemaan sitä. On selvää, että $COUNTRY$ jatkaa päähänsä, mutta takaa arvokkaan liittolaisen.;x
XEO;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;Esperantujo;İñïåğàíòóéî;Esperantujo;x
XEO_ADJ;Esperanto;Esperanto;Esperanto;Esperanto;Esperanto;Esperanta;Esperanto;Esperanto;Esperanto;Esperanto;Esperanto;İñïåğàíòî;Esperanto;x
XEO_conservative;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Konservativa Partio;Êîíñåğâàòèâà Ïàğòèî;Konservativa Partio;x
XEO_liberal;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Liberala Partio;Ëèáåğàëà Ïàğòèî;Liberala Partio;x
XEO_reactionary;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Monarkisma Partio;Ìîíàğêèñìà Ïàğòèî;Monarkisma Partio;x
XEO_socialist;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Socialisma Partio;Ñîöèàëèñìà Ïàğòèî;Socialisma Partio;x
XEO_communist;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Komunisma Partio;Êîìóíèñìà Ïàğòèî;Komunisma Partio;x
XEO_anarcho_liberal;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Anarki-Liberala Partio;Àíàğêè-Ëèáåğàëà Ïàğòèî;Anarki-Liberala Partio;x
XEO_fascist;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Fašisma Partio;Ôàøèñìà Ïàğòèî;Fašisma Partio;x
GYP;Gypsyland;Bohémie;Zigeunerland;Cyganiekraina;Gitánia;Gitania;Cigányokföld;Cikánùzemì;Cigányokföld;Zigeuneraarde;Cigania;Öûãàíçåìëÿ;Mustalainenmaa;x
GYP_ADJ;Gypsy;Bohème;Zigeuner;Cygañ;Gitano;Zingara;Cigányok;Cikánù;Cigányok;Zigeuner;Cigano;Öûãàí;Mustalainen;x
RML;Rumelia;Roumélie;Rumelien;Rumelia;Rumelia;Rumelia;Rumélia;Rumelija;Rumélia;Roemelië;Rumélia;Ğóìåëèÿ;Rumelia;x
RML_ADJ;Rumelian;Roumélien;Rumelisch;Rumelia;Rumelian;Rumela;Rumélyok;Rumelijù;Rumélyok;Roemelië;Rumélia;Ğóìåëèíñê.;Rumelia;x
create_rumelia_title;The Congress of $CAPITAL$;Le congrès de $CAPITAL$;Der Kongress von $CAPITAL$;Kongres $CAPITAL$;El congreso de $CAPITAL$;Il Congresso di $CAPITAL$;A $CAPITAL$ kongresszus;Kongres $CAPITAL$;A $CAPITAL$ kongresszus;Het congres van $CAPITAL$;O congresso de $CAPITAL$;Êîíãğåññ $CAPITAL$;Kongressi $CAPITAL$;x
create_rumelia_desc;After the defeat of the French army, a union of ministers reunited in $CAPITAL$ to decide the fate of the Eastern lands known as "Poland". It is imperative they are to us, yet the Poles hate $COUNTRY$ and thus need a fake king.;Après la défaite de l'armée française, une union de ministres réunis en $CAPITAL$ pour décider du sort des terres de l'Est, connues sous le nom de "Pologne". C'est impératif pour nous, mais les Polonais détestent $COUNTRY$ et ont donc besoin d'un faux roi.;Nach der Niederlage der französischen Armee vereinigte sich eine Union von Ministern in $CAPITAL$, um über das Schicksal der als "Polen" bekannten östlichen Länder zu entscheiden. Es ist zwingend notwendig, dass sie für uns sind, doch die Polen hassen $COUNTRY$ und brauchen daher einen falschen König.;Po klêsce armii francuskiej zwi¹zek ministrów po³¹czy³ siê ponownie w $CAPITAL$, aby rozstrzygn¹æ losy ziem wschodnich zwanych "Polsk¹". Jest to dla nas konieczne, a jednak Polacy nienawidz¹ $COUNTRY$ i dlatego potrzebuj¹ fa³szywego króla.;Después de la derrota del ejército francés, una unión de ministros se reunió en $CAPITAL$ para decidir el destino de las tierras orientales conocidas como "Polonia". Es imperativo que lo sean para nosotros, sin embargo, los polacos odian a $COUNTRY$ y, por lo tanto, necesitan un rey falso.;Dopo la sconfitta dell'esercito francese, un'unione di ministri si riunì in $CAPITAL$ per decidere il destino delle terre orientali conosciute come "Polonia". È imperativo che siano per noi, tuttavia i polacchi odiano $COUNTRY$ e quindi hanno bisogno di un re falso.;A francia hadsereg veresége után a miniszterek egyesülete a $CAPITAL$-ban újraegyesült, hogy meghatározza a "Lengyelország" néven ismert keleti országok sorsát. Rendkívül fontos számunkra, de a lengyelek gyûlölik a $COUNTRY$ -ot, és így szükségük van egy hamis királyra.;Po poráce francouzské armády se sdruení ministrù sešlo v $CAPITAL$, aby rozhodlo o osudu vıchodních zemí známıch jako "Polsko". Je to naprosto nezbytné pro nás, pøesto Poláci nenávidí $COUNTRY$ a potøebují proto falešného krále.;A francia hadsereg veresége után a miniszterek egyesülete a $CAPITAL$-ban újraegyesült, hogy meghatározza a "Lengyelország" néven ismert keleti országok sorsát. Rendkívül fontos számunkra, de a lengyelek gyûlölik a $COUNTRY$ -ot, és így szükségük van egy hamis királyra.;Na de nederlaag van het Franse leger werd een unie van ministers herenigd in $CAPITAL$ om het lot te bepalen van de oostelijke landen die bekend staan als "Polen". Het is absoluut noodzakelijk voor ons, maar de Polen haten $COUNTRY$ en hebben dus een valse koning nodig.;Após a derrota do exército francês, uma união de ministros reunidos em $CAPITAL$ para decidir o destino das terras orientais conhecidas como "Polônia". É imperativo que eles sejam para nós, mas os poloneses odeiam $COUNTRY$ e, portanto, precisam de um rei falso.;Ïîñëå ğàçãğîìà ôğàíöóçñêîé àğìèè ñîşç ìèíèñòğîâ âîññîåäèíèëñÿ â $CAPITAL$, ÷òîáû ğåøèòü ñóäüáó âîñòî÷íûõ çåìåëü, èçâåñòíûõ êàê "Ïîëüøà". Èì íåîáõîäèìî, ÷òîáû îíè áûëè äëÿ íàñ, íî ïîëÿêè íåíàâèäÿò $COUNTRY$ è, ñëåäîâàòåëüíî, íóæäàşòñÿ â ïîääåëüíîì êîğîëå.;Ranskan armeijan tappion jälkeen ministeriyhdistys yhdistyi $CAPITAL$: iin päättäessään itäisten maiden kohtalosta "Puolaksi". On tärkeää, että he ovat meille, mutta puolalaiset vihaavat $COUNTRY$ ja tarvitsevat siten väärennettyjen kuninkaiden.;x
independent_rumelia_title;The Congress of $CAPITAL$;Le congrès de $CAPITAL$;Der Kongress von $CAPITAL$;Kongres $CAPITAL$;El congreso de $CAPITAL$;Il Congresso di $CAPITAL$;A $CAPITAL$ kongresszus;Kongres $CAPITAL$;A $CAPITAL$ kongresszus;Het congres van $CAPITAL$;O congresso de $CAPITAL$;Êîíãğåññ $CAPITAL$;Kongressi $CAPITAL$;x
independent_rumelia_desc;We managed to finally get the autonomy and liberty we deserve from our former overlord. It is time to reorganize the dominion;Nous avons réussi à obtenir enfin l'autonomie et la liberté que nous méritons de notre ancien seigneur. Il est temps de réorganiser le domaine;Wir haben es geschafft, endlich die Autonomie und Freiheit zu erreichen, die wir von unserem ehemaligen Oberherrn verdienen. Es ist Zeit, die Herrschaft neu zu ordnen;Uda³o nam siê w koncu uzyskaæ autonomiê i wolnoœæ zas³ugujemy od naszego by³ego w³adce. To jest czas na reorganizacjê panowanie;Conseguimos finalmente la autonomî¡ y la libertad que merecemos de nuestro antiguo señ¯²® Es hora de reorganizar el dominio;Siamo riusciti a ottenere finalmente l'autonomia e la libertàche ci meritiamo dal nostro ex dominatore. È tempo di riorganizzare il dominio;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;Podaøilo se nám koneènì získat autonomii a svobodu, kterou si zaslouíme od našeho bıvalého pána. Je naèase reorganizovat panství;Sikerült végre autonómiáját és szabadságát, hogy megérdemeljük a mi korábbi Overlord. Itt az ideje, hogy átszervezi a uralom;We zijn erin geslaagd om eindelijk de autonomie en de vrijheid die we verdienen van onze voormalige overlord. Het is tijd om het koninkrijk te reorganiseren;Conseguimos finalmente obter a autonomia ea liberdade que merecemos de nosso ex-senhor. É hora de reorganizar o domî¯©o;Íàì óäàëîñü íàêîíåö ïîëó÷èòü àâòîíîìèş è ñâîáîäó, êîòîğûõ ìû çàñëóæèâàåì îò íàøåãî áûâøåãî ïîâåëèòåëÿ. Ïğèøëî âğåìÿ ğåîğãàíèçîâàòü âëàñòü;Onnistuimme vihdoinkin itsenåª³yyttä¡ªa vapautta ansaitsemme meidå® entinen lå¥®inherra. On aika jå³ªestå¤ uudelleen valta;x
outremer;Crusader;Croisé;Kreuzzügler;Krzy¿owiec;Cruzado;Crociato;Keresztes;Køiák;Keresztes;Kruisvaarder;Cruzado;Êğåñòîíîñöà;Ristiretkeläinen;x
DOG;Hundland;Houndlande;Hundland;Hundland;Hundland;Hundlandia;Hundland;Hundland;Hondland;Hundland;Ãóíäëÿíä;Ajokoiramaa;x;
DOG_ADJ;Hound;Chien;Hund;Pies;Canide;Canina;Ohaø;Vadászkutya;Hond;Cão;Ãîí÷àÿ;Ajokoira;x;
DUK;Duckburg;Donaldville;Entenhausen;Kaczogród;Paperopoli;Paperopolis;Kaèerov;Egérváros;Duckstad;Patópolis;Êà÷åğîâ;Ankkalinna;x;
DUK_ADJ;Duckburger;Donaldvillien;Entenhäuser;Kaczogródski;Paperopolese;Paperopolitana;Kaèerovski;Egérváros;Duckstader;Patópolis;Êà÷åğîâñêèé;Ankkalinnan;x;
DRK;Akavir;Akavir;Akavir;Akavir;Acaviria;Acavir;Akavir;Akavir;Akavir;Akavir;Àêàâèğ;Akavirmaa;x;
DRK_ADJ;Akavirian;Akavirien;Akavirisch;Akavirian;Acaviro;Acavira;Akavirian;Akavirian;Akavirian;Akavirian;Àêàâèğñêèé;Akavirian;x;
ELE;Eleph;Éléph;Elef;S³oñ;Elefa;Elefa;Elefá;Slon;Elefá;Olif;Elefa;Éëîí;Norsu;
ELE_ADJ;Elephian;Éléphien;Elefisch;S³oñski;Elefo;Elefa;Elefá;Slonsk;Elefá;Olifa;Elefo;Éëîíñêèé;Norsu;
HEG;Mobian;Mobiane;Mobianien;Mobian;Mobiano;Mobiannia;Mobian;Mobian;Mobian;Mobian;Ìîáèÿí;Mobianmaa;x;
HEG_ADJ;Mobian;Mobian;Mobianisch;Mobian;Mobiano;Mobiana;Mobian;Mobian;Mobian;Mobian;Ìîáèÿíüñêèé;Mobian;x;
dog_culture;Dog;Chien;Hund;Pies;Cane;Cane;Pes;Kutya;Hond;Cão;Ñîáàêà;Koira;x;
duck_culture;Duck;Canard;Ente;Kaczka;Papero;Papero;Kachna;Kacsa;Eend;Pato;Óòêà;Ankka;x;
dragon_culture;Dragon;Dragon;Drachen;Smok;Drago;Drago;Drak;Sárkány;Draak;Dragão;Äğàêîí;Lohikäärme;x;
hedgehog_culture;Hedgehog;Hérisson;Igel;Je¿;Riccio;Riccio;Jeek;Sündisznó;Egel;Ouriço;Åæèê;Siili;x;
elephant_culture;Elephant;Éléphant;Elefant;S³oñ;Elefante;Elefante;Elefánt;Slon;Elefánt;Olifant;Elefante;Éëîí;Elefantti;x
RUM;Rûm;Rhum;Rum;Rum;Rum;Rum;Rum;Rum;Rum;Rum;Rum;Ğîì;Rommi;x
RUM_ADJ;Ruman;Rumain;Rumisch;Rumanski;Rumano;Rumana;Ruman;Ruman;Ruman;Ruman;Ruman;Ğîìñêèé;Ruman;x
