KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTDESC5000100;After $COUNTRY$ conquered the city of Szczecin, it is better to set a treaty with the Germans about the new border following two rivers, the Oder and the Neiße.;Après que $COUNTRY$ a conquis la ville de Szczecin, il est préférable de conclure un traité avec les Allemands sur la nouvelle frontière suivant deux fleuves, l'Oder et la Neiße.;Nachdem $COUNTRY$ die Stadt Szczecin erobert hat, ist es besser, mit den Deutschen einen Vertrag über die neue Grenze nach zwei Flüssen, der Oder und der Neiße, zu schließen.;Po podbiciu Szczecina przez $COUNTRY$ lepiej jest zawrzeæ z Niemcami traktat o nowej granicy wzd³u¿ dwóch rzek: Odry i Neiße.;Después de que $COUNTRY$ conquistó la ciudad de Szczecin, es mejor establecer un tratado con los alemanes sobre la nueva frontera que sigue a dos ríos, el Oder y el Neiße.;Dopo che $COUNTRY$ ha conquistato la città di Szczecin, è meglio stabilire un trattato con i tedeschi sul nuovo confine seguendo due fiumi, l'Oder e il Neiße.;Miután $COUNTRY$ meghódította Szczecin városát, jobb, ha megállapodást köt a németekkel az új határról, amely két folyót, az Oder és a Neiße után vezet.;Poté, co $COUNTRY$ dobyl mìsto Štìtín, je lepší uzavøít s Nìmci smlouvu o nové hranici po dvou øekách, Odøe a Neiße.;Miután $COUNTRY$ meghódította Szczecin városát, jobb, ha megállapodást köt a németekkel az új határról, amely két folyót, az Oder és a Neiße után vezet.;Nadat $COUNTRY$ de stad Szczecin heeft veroverd, is het beter om met de Duitsers een verdrag te sluiten over de nieuwe grens langs twee rivieren, de Oder en de Neiße.;Depois que $COUNTRY$ conquistou a cidade de Szczecin, é melhor estabelecer um tratado com os alemães sobre a nova fronteira, seguindo dois rios, Oder e Neiße.;Ïîñëå òîãî, êàê $COUNTRY$ çàâîåâàë ãîğîä Ùåöèí, ëó÷øå çàêëş÷èòü ñ íåìöàìè äîãîâîğ î íîâîé ãğàíèöå, ñëåäóşùåé çà äâóìÿ ğåêàìè, Îäåğîì è Íåéñå.;Sen jälkeen kun $COUNTRY$ on valloittanut Szczecinin kaupungin, on parempi tehdä saksalaisten kanssa sopimus uudesta rajasta kahden joen, Oderin ja Neißen, jälkeen.;x
EVTOPTA5000100;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;Ok.;Rendben.;Ok.;Está bem.;Õîğîøî.;Ok.;x
EVTNAME5000110;$COUNTRY_ADJ$ Vorpommern;La Vorpommern $COUNTRY_ADJ$;$COUNTRY_ADJ$es Vorpommern;$COUNTRY_ADJ$ Pomorze;$COUNTRY_ADJ$ Vorpommern;Vorpommern $COUNTRY_ADJ$;$COUNTRY_ADJ$ Vorpommern;$COUNTRY_ADJ$ Vorpommern;$COUNTRY_ADJ$ Vorpommern;$COUNTRY_ADJ$ Vorpommern;$COUNTRY_ADJ$ Vorpommern;$COUNTRY_ADJ$ Ïåğåäíÿÿ Ïîìåğàíèÿ;$COUNTRY_ADJ$ Vorpommern;x
EVTDESC5000110;Our neighbour wanted to settle the borders of Pomerania, giving us back the Western part thereof.;Notre voisin a voulu régler les frontières de la Poméranie, nous en rendant la partie occidentale.;Unser Nachbar wollte die Grenzen Pommerns besiedeln und uns den westlichen Teil davon zurückgeben.;Nasz s¹siad chcia³ ustaliæ granice Pomorza, oddaj¹c nam jego zachodni¹ czêœæ.;Nuestro vecino quería establecer las fronteras de Pomerania, devolviéndonos la parte occidental de la misma.;Il nostro vicino vuole stabilire i confini della Pomerania, restituendocene la parte occidentale.;Szomszédunk meg akarta rendezni Pomeránia határait, visszaadva nekünk annak nyugati részét.;Náš soused chtìl urovnat hranice Pomoøanska a vrátit nám jejich západní èást.;Szomszédunk meg akarta rendezni Pomeránia határait, visszaadva nekünk annak nyugati részét.;Onze buurman wilde de grenzen van Pommeren vestigen en ons het westelijke deel daarvan teruggeven.;Nosso vizinho queria estabelecer as fronteiras da Pomerânia, devolvendo-lhe a parte ocidental.;Íàø ñîñåä õîòåë óëàäèòü ãğàíèöû Ïîìåğàíèè, âåğíóâ íàì çàïàäíóş ÷àñòü.;Naapurimme halusi ratkaista Pommerin rajat antamalla meille takaisin sen länsipuolen.;x
EVTOPTA5000110;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;Ok.;Rendben.;Ok.;Está bem.;Õîğîøî.;Ok.;x
EVTNAME5000101;Further Pomerania;La Poméranie Ultérieure;Weiteres Pommern;Dalsze Pomorze;Pomerania adicional;Pomerania Ulteriore;További Pomeránia;Další Pomoøansko;További Pomeránia;Verder Pommeren;Pomerania adicional;Äàëüíåéøàÿ Ïîìåğàíèÿ;Edelleen Pommeri;x
EVTDESC5000101;The Germans finally reconquered their ancestral lands over the Oder and the Neiße river. It is time we restore our ancestral ties.;Les Allemands ont finalement reconquis leurs terres ancestrales sur l'Oder et la Neiße. Il est temps de restaurer nos liens ancestraux.;Die Deutschen eroberten schließlich ihr angestammtes Land über die Oder und die Neiße zurück. Es ist Zeit, dass wir unsere Ahnenbindungen wiederherstellen.;Niemcy w koñcu odzyskali swoje ziemie rodowe nad Odr¹ i Nys¹. Czas przywróciæ nasze wiêzi rodowe.;Los alemanes finalmente reconquistaron sus tierras ancestrales sobre el río Oder y el río Neiße. Es hora de que restauremos nuestros lazos ancestrales.;Alla fine i tedeschi han riconquistato le loro terre ancestrali oltre i fiumi Oder e Neiße. È tempo di ripristinare i nostri legami ancestrali.;A németek végül újjáépítették õseik földjét Oder és a Neiße folyó felett. Ideje visszaállítani õsi kapcsolatainkat.;Nìmci koneènì dobyli své pøedkové zemì nad Odrou a øekou Neiße. Je èas obnovit naše pøedkové vazby.;A németek végül újjáépítették õseik földjét Oder és a Neiße folyó felett. Ideje visszaállítani õsi kapcsolatainkat.;De Duitsers heroverden uiteindelijk hun voorouderlijke land boven de rivier de Oder en de Neiße. Het wordt tijd dat we onze voorouderlijke banden herstellen.;Os alemães finalmente reconquistaram suas terras ancestrais sobre o rio Oder e o rio Neiße. Está na hora de restaurarmos nossos laços ancestrais.;Íåìöû îêîí÷àòåëüíî îòâîåâàëè ñâîè èñêîííûå çåìëè íàä Îäåğîì è ğåêîé Íåéñå. Íàñòàëî âğåìÿ âîññòàíîâèòü íàøè ğîäñòâåííûå ñâÿçè.;Saksalaiset valloittivat lopulta esi-isänsä Oderin ja Neiße-joen yli. On aika palauttaa esi-isien siteet.;x
EVTOPTA5000101;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;Ok.;Rendben.;Ok.;Está bem.;Õîğîøî.;Ok.;x
EVTNAME5000102;Kaliningrad;Kaliningrad;Kaliningrad;Kaliningrad;Kaliningrado;Kaliningrad;Kalinyingrád;Kaliningrad;Kalinyingrád;Kaliningrad;Kaliningrado;Êàëèíèíãğàä;Kaliningrad;x
EVTDESC5000102;The Baltic city of Königsberg is now under $COUNTRY_ADJ$ control. Yet, why should we honour the city of Kant? It is time to remove the Prussian presence from the streets!;La ville baltique de Kœnigsberg est désormais sous le contrôle de $COUNTRY_ADJ$. Pourtant, pourquoi devrions-nous honorer la ville de Kant? Il est temps de retirer la présence prussienne des rues!;Die baltische Stadt Königsberg steht nun unter $COUNTRY_ADJ$er Kontrolle. Doch warum sollten wir die Stadt Kants ehren? Es ist Zeit, die preußische Präsenz von den Straßen zu entfernen!;Ba³tyckie miasto Königsberg znajduje siê teraz pod kontrol¹ $COUNTRY_ADJ$. Dlaczego jednak mamy honorowaæ miasto Kant? Czas usun¹æ prusk¹ obecnoœæ z ulic!;La ciudad báltica de Königsberg está ahora bajo el control $COUNTRY_ADJ$. Sin embargo, ¿por qué debemos honrar a la ciudad de Kant? ¡Es hora de eliminar la presencia prusiana de las calles!;La città baltica di Königsberg è ora sotto controllo $COUNTRY_ADJ$. Tuttavia, perché dovremmo onorare la città di Kant? È tempo di rimuovere la presenza prussiana dalle strade!;A balti város, Königsberg jelenleg $COUNTRY_ADJ$ irányítás alatt áll. De miért kellene tisztelnünk Kant városát? Ideje eltávolítani a porosz jelenlét az utcáktól!;Pobaltské mìsto Königsberg je nyní pod kontrolou $COUNTRY_ADJ$. Proè bychom však mìli ctít mìsto Kant? Je èas odstranit pruskou pøítomnost z ulic!;A balti város, Königsberg jelenleg $COUNTRY_ADJ$ irányítás alatt áll. De miért kellene tisztelnünk Kant városát? Ideje eltávolítani a porosz jelenlét az utcáktól!;De Baltische stad Königsberg staat nu onder $COUNTRY_ADJ$ controle. Maar waarom zouden we de stad Kant eren? Het is tijd om de Pruisische aanwezigheid van de straat te halen!;A cidade báltica de Königsberg está agora sob o controle $COUNTRY_ADJ$. No entanto, por que devemos honrar a cidade de Kant? É hora de remover a presença da Prússia das ruas!;Áàëòèéñêèé ãîğîä Êåíèãñáåğã òåïåğü íàõîäèòñÿ ïîä êîíòğîëåì $COUNTRY_ADJ$. È âñå æå, ïî÷åìó ìû äîëæíû ÷òèòü ãîğîä Êàíò? Ïîğà óáğàòü ïğóññêîå ïğèñóòñòâèå ñ óëèö!;Itämeren kaupunki Königsberg on nyt $COUNTRY_ADJ$ hallinnassa. Miksi meidän pitäisi kunnioittaa Kantin kaupunkia? On aika poistaa Preussin läsnäolo kaduilta!;x
EVTOPTA5000102;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;Ok.;Rendben.;Ok.;Está bem.;Õîğîøî.;Ok.;x
EVTNAME5000103;Königsberg, my Königsberg!;Kœnigsberg, mon Kœnigsberg!;Königsberg, mein Königsberg!;Königsberg, mój Königsberg!;Königsberg, mi Königsberg!;Königsberg, mia Königsberg!;Königsberg, én Königsberg!;Königsberg, mùj Königsberg!;Königsberg, én Königsberg!;Königsberg, mijn Königsberg!;Königsberg, meu Königsberg!;Êåíèãñáåğã, ìîé Êåíèãñáåğã!;Königsberg, minun Königsberg!;x
EVTDESC5000103;Immanuel Kant was a $COUNTRY_ADJ$ philosopher who lived his entire life in the city of Königsberg. And as $COUNTRY$ reconquered the city from the Slavic invaders, we should remember his philosophical importance by restoring the name of his birth city.;Emmanuel Kant était un philosophe $COUNTRY_ADJ$ qui a vécu toute sa vie dans la ville de Kœnigsberg. Et comme $COUNTRY$ a reconquis la ville des envahisseurs slaves, nous devons nous souvenir de son importance philosophique en restaurant le nom de sa ville natale.;Immanuel Kant war ein $COUNTRY_ADJ$er Philosoph, der sein ganzes Leben in der Stadt Königsberg lebte. Und als $COUNTRY$ die Stadt von den slawischen Invasoren zurückeroberte, sollten wir uns an seine philosophische Bedeutung erinnern, indem wir den Namen seiner Geburtsstadt wiederherstellen.;Immanuel Kant by³ filozofem $COUNTRY_ADJ$, który ca³e ¿ycie mieszka³ w Królewcu. A kiedy $COUNTRY$ podbi³ miasto od s³owiañskich najeŸdŸców, powinniœmy pamiêtaæ o jego filozoficznym znaczeniu, przywracaj¹c nazwê jego miasta urodzenia.;Immanuel Kant fue un filósofo $COUNTRY_ADJ$ que vivió toda su vida en la ciudad de Königsberg. Y a medida que $COUNTRY$ reconquistó la ciudad de los invasores eslavos, debemos recordar su importancia filosófica al restaurar el nombre de su ciudad natal.;Immanuel Kant era un filosofo $COUNTRY_ADJ$ che ha vissuto tutta la sua vita nella città di Königsberg. E dato che $COUNTRY$ ha riconquistato la città dagli invasori slavi, dovremmo ricordare la sua importanza filosofica ripristinando il nome della sua città natale.;Immanuel Kant egy $COUNTRY_ADJ$ filozófus volt, aki egész életét Königsberg városában élte. És amint $COUNTRY$ legyõzte a várost a szláv invázióktól, emlékeznünk kell a filozófiai jelentõségére azáltal, hogy helyreállítja születési városának nevét.;Immanuel Kant byl $COUNTRY_ADJ$ filozof, kterı celı ivot il ve mìstì Königsberg. A kdy $COUNTRY$ dobyl mìsto od slovanskıch útoèníkù, mìli bychom si pamatovat jeho filozofickı vıznam obnovením jména jeho rodného mìsta.;Immanuel Kant egy $COUNTRY_ADJ$ filozófus volt, aki egész életét Königsberg városában élte. És amint $COUNTRY$ legyõzte a várost a szláv invázióktól, emlékeznünk kell a filozófiai jelentõségére azáltal, hogy helyreállítja születési városának nevét.;Immanuel Kant was een $COUNTRY_ADJ$ filosoof die zijn hele leven in de stad Königsberg woonde. En terwijl $COUNTRY$ de stad heroverde van de Slavische indringers, moeten we zijn filosofische belang onthouden door de naam van zijn geboortestad te herstellen.;Immanuel Kant era um filósofo do $COUNTRY_ADJ$ que viveu toda a sua vida na cidade de Königsberg. E como $COUNTRY$ reconquistou a cidade dos invasores eslavos, devemos lembrar sua importância filosófica restaurando o nome de sua cidade natal.;Èììàíóèë Êàíò áûë ôèëîñîôîì $COUNTRY_ADJ$, êîòîğûé âñş ñâîş æèçíü ïğîæèë â ãîğîäå Êåíèãñáåğãå. È êîãäà $COUNTRY$ îòâîåâàë ãîğîä ó ñëàâÿíñêèõ çàõâàò÷èêîâ, ìû äîëæíû ïîìíèòü î åãî ôèëîñîôñêîì çíà÷åíèè, âîññòàíîâèâ íàçâàíèå ãîğîäà, â êîòîğîì îí ğîäèëñÿ.;Immanuel Kant oli $COUNTRY_ADJ$ filosofi, joka asui koko elämänsä Königsbergin kaupungissa. Ja kun $COUNTRY$ valloitti kaupungin slaavilaisilta hyökkääjiltä, ??meidän tulisi muistaa hänen filosofinen merkitys palauttamalla syntymäkaupunginsa nimi.;x
EVTOPTA5000103;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;Ok.;Rendben.;Ok.;Está bem.;Õîğîøî.;Ok.;x
EVTNAME5000114;Kaliningrad Oblast;Oblast de Kaliningrad;Kaliningrader Oblast;Obwód Kaliningradzki;Óblast de Kaliningrado;L'Oblast di Kaliningrad;Kalinyingrádi terület;Kaliningradská oblast;Kalinyingrádi terület;Kaliningrad Oblast;Kaliningrad Oblast;Êàëèíèíãğàäñêàÿ îáëàñòü;Kaliningradin alue;x
EVTOPTA5000114;Our subject conquered the city of Kaliningrad and has given it to you, my $MONARCHTITLE$, as a sign of their obedience.;Notre sujet a conquis la ville de Kaliningrad et vous l'a donné, mon $MONARCHTITLE$, en signe d'obéissance.;Unser Untertan hat die Stadt Kaliningrad erobert und Ihnen, mein $MONARCHTITLE$, als Zeichen ihres Gehorsams gegeben.;Nasz podmiot podbi³ miasto Kaliningrad i podarowa³ je wam, mój $MONARCHTITLE$, jako znak ich pos³uszeñstwa.;Nuestro sujeto conquistó la ciudad de Kaliningrado y se lo ha dado, mi $MONARCHTITLE$, como un signo de su obediencia.;Il nostro soggetto ha conquistato la città di Kaliningrad e Vela ha data, o mio ??$MONARCHTITLE $, come segno di obbedienza.;Tárgyunk meghódította Kalinyingrád városát, és megadta nektek, a $MONARCHTITLE$, omnak engedelmességük jeleként.;Náš subjekt dobyl mìsto Kaliningrad a dal vám to, mùj $MONARCHTITLE$, jako znamení jejich poslušnosti.;Tárgyunk meghódította Kalinyingrád városát, és megadta nektek, a $MONARCHTITLE$, omnak engedelmességük jeleként.;Ons onderwerp heeft de stad Kaliningrad veroverd en heeft deze aan u gegeven, mijn $MONARCHTITLE$, als teken van hun gehoorzaamheid.;Nosso sujeito conquistou a cidade de Kaliningrado e deu a você, meu $MONARCHTITLE$, como um sinal de obediência.;Íàø ïîääàííûé ïîêîğèë ãîğîä Êàëèíèíãğàä è ïåğåäàë åãî âàì, ìîé $MONARCHTITLE$, â çíàê èõ ïîñëóøàíèÿ.;Aiheemme valloitti Kaliningradin kaupungin ja on antanut sen sinulle, $MONARCHTITLE$, merkiksi heidän kuuliaisuudestaan.;x
EVTDESC5000114;Da, tovarish.;Da, tovarich.;Da, tovarisch.;Da, tovarisz.;Da, továrich.;Da, tovarisc'.;Da, tovarish.;Da, zboí.;Da, tovarish.;Da, tovarish.;Da, tovarish.;Äà, òîâàğèø.;Da, tovarish.;x
