KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
ALW;Alawites;Alaouites;Alawitenstaat;Alawites;Alawites;Alauiti;Alaviták;Alawites;Alaviták;Alawieten;Alawites;Àëàâèòû;Alawites;x
ALW_ADJ;Alawite;Alaouite;Alawiten-;Alawite;Alauita;Alauita;Alawite;Alawite;Alawite;Alawieten;Alawite;àëàâèòîâ;Alawite;x
AMA;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Àìàãî;Amago;x
AMA_ADJ;Amago;d'Amago;Amago-;Amago;Amago;di Amago;Amago;Amago;Amago;Amago;Amago;Àìàãî;Amago;x
AMD;Ahmadnagar;Ahmadnagar;Ahmednagar;Ahmadnagar;Ahmadnagar;Ahmednagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Àìàäíàãàğ;Ahmadnagar;x
AMD_ADJ;Ahmadnagar;d'Ahmadnagar;Ahmednagar-;Ahmadnagar;Ahmadnagar;di Ahmednagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Àìàäíàãàğ;Ahmadnagar;x
AMG;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Àğìàíüÿê;Armagnac;x
AMG_ADJ;Armagnac;Armagnacot;Armagnac-;Armagnac;Armagnac;Armagnacca;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Àğìàíüÿê;Armagnac;x
AND_absolute_monarchy;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_ADJ;Andhran;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğàí;Andhra;x
AND_bourgeois_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_democracy;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_fascist_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_hms_government;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_presidential_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_proletarian_dictatorship;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_prussian_constitutionalism;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
AND_theocracy;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäğà;Andhra;x
ANG;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Àíãîëà;Angola;x
ANG_ADJ;Angolan;Angolais;Angolanisch;Angolan;Angoleño;Angolana;angolai;Angolan;angolai;Angolese;Angolano;Àíãîëüñê.;Angolan;x
ANN;Annam;Annam;Annam;Annam;Annam;Annam;Annam;annam;Annam;annam;Annam;Àííàì;Annam;x
ANN_ADJ;Annam;d'Annam;Annam-;Annam;Annam;di Annam;Annam;annam;Annam;annam;Annam;Àííàì;Annam;x
ANS;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Àíñáàõà;Ansbach;x
ANS_ADJ;Ansbachian;Ansbachien;Ansbacher;Ansbachian;Ansbachiano;Ansbachiana;Ansbachian;Ansbachian;Ansbachian;Ansbachian;Ansbachiano;Àíñáàõàí;Ansbachian;x
ANT;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Àíòåìîğî;Antemoro;x
ANT_ADJ;Antemoro;d'Antemoro;Antemoro-;Antemoro;Antemoro;di Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Àíòåìîğî;Antemoro;x
AOT;Aotearoa;Aotéaroa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Àîòıàğîà;Aotearoa;x
AOT_ADJ;Aotearoa;d'Aotéaroa;Aotearoa-;Aotearoa;Aotearoa;di Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Àîòıàğîà;Aotearoa;x
APA;Apache;Apaches;Apachen;Apache;apache;Apaci;Apache;Apache;Apache;Apache;Apache;Àïàø;Apache;x
APA_ADJ;Apache;Apache;Apache;Apache;apache;Apaci;Apache;Apache;Apache;Apache;Apache;Àïàø;Apache;x
AQU;Aquileia;Aquilée;Aglar;Akwilei;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Àêâóèëåèà;Aquileia;x
AQU_ADJ;Aquileian;Aquiléais;Aglarisch;Akwilei;Aquileano;Aquileiese;Aquileian;Aquileian;Aquileian;Aquileian;Aquileano;Àêâèëåéñêîé;Aquileian;x
ARD;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Àğäàëàí;Ardalan;x
ARD_ADJ;Ardalani;Ardalanais;Ardalan-;Ardalani;Ardalani;Ardalana;Ardalani;Ardalani;Ardalani;Ardalani;Ardalani;Àğäàëàíè;Ardalani;x
ARK;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Àğàêàí;Arakan;x
ARK_ADJ;Arakan;Arakanais;Arakan-;Arakan;Arakan;Aracanese;Arakan;Arakan;Arakan;Arakan;Arakan;Àğàêàí;Arakan;x
ARN;Aragon;Aragon;Aragon;Aragon;Aragón;Aragona;Aragon;Aragon;Aragon;Aragon;Aragão;Àğàãîí;Aragon;x
ARN_ADJ;Aragonian;Aragonais;Aragonisch;Aragoñskie;Aragonés;Aragonese;Aragóniaiak;Aragonian;Aragóniaiak;Aragonian;Aragonês;Àğàãîíà;Aragonian;x
ARO;Aro;Aro;Aro;Aro;Aro;Aro;Aro;Aro;Aro;Aro;Aro;Àğî;Aro;x
ARO_ADJ;Aro;d'Aro;Aro-;Aro;Aro;di Aro;Aro;Aro;Aro;Aro;Aro;Àğîñê.;Aro;x
ARP;Arapaho;Arapahos;Arapaho;Arapaho;Arapaho;Arapaho;arapaho;Arapaho;arapaho;Arapaho;Arapaho;Àğàïàõî;Arapaho;x
ARP_ADJ;Arapaho;Arapaho;Arapaho;Arapaho;Arapaho;degli Arapaho;arapaho;Arapaho;arapaho;Arapaho;Arapaho;Àğàïàõî;Arapaho;x
ARU;the Arab Union;L'Union Arabe;Die Arabische Union;Unia Arabska;la Unión Árabe;L'Unione Araba;az Arab Unió;Arabskou Unii;az Arab Unió;de Arabische Unie;a União Árabe;Àğàáñêèé Ñîşç;arabivaltio;x
ARU_ADJ;Arab;Arabe;Arabisch;Arab;árabe;Araba;arab;Arab;arab;Arabisch;árabe;àğàá;arabi;x
ARW;Arawak;Aroüagues;Arawak;Arawak;Arawak;Aruachi;Arawak;Arawak;Arawak;Arawak;Arawak;Àğàâàê;Arawak;x
ARW_ADJ;Arawak;Aroüague;Arawak;Arawak;Arawak;Aruaca;Arawak;Arawak;Arawak;Arawak;Arawak;Àğàâàê;Arawak;x
ASA;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Àñàêóğà;Asakura;x
ASA_ADJ;Asakura;d'Asakura;Asakura-;Asakura;Asakura;di Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Àñàêóğà;Asakura;x
ASH;Ashanti;Achanti;Aschantireich;Ashanti;Ashanti;Asante;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Àøàíòè;Ashanti;x
ASH_ADJ;Ashanti;d'Achanti;Aschanti;Ashanti;Ashanti;Asante;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Àøàíòè;Ashanti;x
ASI;Assiniboine;Assiniboines;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Àññèíèáîèíå;Assiniboine;x
ASI_ADJ;Assiniboine;Assiniboine;Assiniboine-;Assiniboine;Assiniboine;di Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Àññèíèáîèíå;Assiniboine;x
ASM;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Àññàì;Assam;x
ASM_ADJ;Assamese;Assamais;Assamesisch;Asamski;Assamés;Assamese;asszámi;ásámština;asszámi;Assamees;Assamês;Àññàìñê.;assami;x
ASR;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Àñèğ;Asir;x
ASR_ADJ;Idrisid;Idriside;Idrisiden-;Idrisid;Idrisid;Idriside;Idrisid;Idrisid;Idrisid;Idrisid;Idrisid;Èäğèñèäñê.;Idrisid;x
ASY;Assyria;Assyrie;Assyrien;Asyria;Asiria;Assiria;Asszíria;Asırii;Asszíria;Assyrië;Assíria;Àññèğèÿ;Assyria;x
ASY_ADJ;Assyrian;Assyrien;Assyrisch;asyryjski;asirio;Assira;asszír;Asyrskı;asszír;Assyrisch;assírio;àññèğèéñê.;assyrialainen;x
ATB;Antigua and Barbuda;Antigua-et-Barbuda;Antigua und Barbuda;Antigua i Barbuda;Antigua y Barbuda;Antigua e Barbuda;Antigua és Barbuda;Antigua a Barbuda;Antigua és Barbuda;Antigua en Barbuda;Antígua e Barbuda;Àíòèãóà è Áàğáóäà;Antigua ja Barbuda;x
ATB_ADJ;Antiguan;Antiguayen;Antiguanisch;Antiguan;Antigua;Antiguo-Barbudana;antiguai;Antiguan;antiguai;Antiguan;Antigua;Àíòèãñê.;Antiguan;x
ATH;Athens;Athènes;Athen;Ateny;Atenas;Atene;Athén;Athény;Athén;Athene;Atenas;Àôèíû;Ateena;x
ATH_ADJ;Athenian;Athénien;Athenisch;Ateñski;ateniense;Ateniese;athéni;aténská;athéni;Atheens;ateniense;Àôèíñê.;ateenalainen;x
ATR;Asturias;Asturies;Asturien;Asturias;Asturias;Asturie;Asturias;Asturie;Asturias;Asturië;Astúrias;Àñòóğèÿ;asturias;x
ATR_ADJ;Asturian;Asturien;Asturisch;Asturyjski;asturiano;Asturiana;asztúriai;Asturština;asztúriai;Asturische;Asturiano;Àñòóğèè;Asturian;x
AUG;Augsburg;Augsbourg;Augsburg;Augsburg;Augsburgo;Augusta;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Àóãñáóğã;Augsburg;x
AUG_ADJ;Augsburger;Augsbourgeois;Augsburger;Augsburger;Augsburger;Agostina;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Àóãñáóğãåğ;Augsburger;x
AUR;Läßinia;Läßinia;Läßinien;Läßinia;Läßinia;Läßinia;Läßinia;Läßinia;Läßinia;Läßinia;Läßinia;Ëıññèíèÿ;Läßinia;x
AUR_ADJ;Läßin;Läßin;Läßein;Läßin;Läßin;Läßina;Läßin;Läßin;Läßin;Läßin;Läßin;Ëıññèíñê.;Läßin;x
AUV;Auvergne;Auvergne;Auvergne;Owernia;Auvernia;Alvernia;Auvergne;Auvergne;Auvergne;Auvergne;Auvergne;Îâåğíü;Auvergne;x
AUV_ADJ;Auvergnat;Auvergnat;Auvergne-;Owerniese;Auvergnese;Alverniese;Auvergnese;Auvergnese;Auvergnese;Auvergnese;Auvergnese;Àóâåğãíåñå;Auvergnese;x
AVA;Ava;Ava;Ava;Ava;Ava;Ava;Ava;Ava;Ava;Ava;Ava;Àâà;ava;x
AVA_ADJ;Ava;d'Ava;Ava-;Ava;Ava;di Ava;Ava;Ava;Ava;Ava;Ava;Àâà;ava;x
AVI;Avignon;Avignon;Avignon;Awinion;Aviñón;Avignone;Avignon;Avignon;Avignon;Avignon;Avignon;Àâèíüîí;Avignon;x
AVI_ADJ;Avignonnais;Avignonnais;Avignon-;Awinionese;Avignonese;Avignonese;Avignonese;Avignonese;Avignonese;Avignonese;Avignonese;Àâèãíîíåñå;Avignonese;x
AWS;Awsa;Aoussa;Awsa;Awsa;Awsa;Aussa;Awsa;Awsa;Awsa;Awsa;Awsa;Àóñà;Awsa;x
AWS_ADJ;Awsa;d'Aoussa;Awsa-;Awsa;Awsa;di Aussa;Awsa;Awsa;Awsa;Awsa;Awsa;Àóñàñê.;Awsa;x
AYD;Aydin;Aÿdin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Aydin;Àéäûí;Aydin;x
AYD_ADJ;Aydinid;Aÿdinide;Aydinid;Aydinid;Aydinid;Aydinide;Aydinid;Aydinid;Aydinid;Aydinid;Aydinid;Àûäèíèä;Aydinid;x
AYR;Air;Aïr;Air;Powietrze;Aire;Air;Levego;Vzduch;Levego;Lucht;Ar;Âîçäóõ;ilma;x
AYR_ADJ;Air;de l'Aïr;Air-;Powietrze;Aire;di Air;Levego;Vzduch;Levego;Lucht;Ar;Âîçäóõ;ilma;x
AZT;The Aztec;Les Aztèques;Die Azteken;Azteków;Los Aztecas;Gli Aztechi;az azték;aztéckı;az azték;de Azteekse;O asteca;Àöòåêñê.;atsteekkien;x
AZT_ADJ;Aztec;Aztèque;Aztekisch;Aztek;azteca;Azteca;azték;aztéckı;azték;Aztec;asteca;Àöòåêñê.;aztec;x
BAH;Deccan;Deccan;Dekkan;Deccan;Deccan;Deccan;Dekkán;Deccan;Dekkán;Deccan;Deccan;Äåêàí;Deccan;x
BAH_ADJ;Deccan;Deccanais;Dekkan-;Deccan;Deccan;del Deccan;Dekkán;Deccan;Dekkán;Deccan;Deccan;Äåêàí;Deccan;x
BAN;Banat;Banat;Banat;Banat;Banat;Banato;Bánság;Banát;Bánság;Banat;Banat;Áàíàò;Banat;x
BAN_ADJ;Banat;du Banat;Banatschwäbisch;Banat;Banat;Banatese;Banat;Banát;Banat;Banat;Banat;Áàíàò;Banat;x
BAR;Bar;Bar;Bar;Bar;Bar;Bar;Bár;Bar;Bár;Bar;Barra;Áàğ;Baari;x
BAR_ADJ;Barrois;Barrois;Bar-;Barrois;Barrois;Barrese;Barrois;Barrois;Barrois;Barrois;Barrois;Áàğğîèñ;Barrois;x
BARB_anarcho_liberal;The Hunnic Faction;Faction Hunnique;Hunnische Fraktion;The Hunnic Faction;La facción Hunnic;Fazione degli Unni;A hunnik frakció;Hunní frakce;A hunnik frakció;The Hunnic Faction;The Hunnic Faction;Ôóíäàìåíò Õóííè;Hunnic Faction;x
BARB_communist;The Scythian Faction;Faction Scythe;Skythische Fraktion;Frakcja scytyjska;La facción escita;Fazione degli Sciti;A szkítikus frakció;Scythian frakce;A szkítikus frakció;De Scythische factie;A facção cítia;Ñêèôñêàÿ ôğàêöèÿ;Scythian fraktio;x
BARB_conservative;Wodan’s Faction;Faction de Wodan;Wodans Fraktion;Frakcja Wodana;Facción de Wodan;Fazione di Odino;Wodan frakciója;Wodanova frakce;Wodan frakciója;Wodan's Faction;A facção de Wodan;Ôğàêöèÿ Âîäàíà;Wodanin fraktio;x
BARB_conservative_2;The Gothic Faction;Faction Gothique;Gotische Fraktion;Gothic Faction;La facción gótica;Fazione dei Goti;A gótikus frakció;Gotická frakce;A gótikus frakció;De gotische factie;A facção gótica;Ãîòè÷åñêàÿ ôğàêöèÿ;Goottilainen fraktio;x
BARB_conservative_3;The Lombard Faction;Faction Lombarde;Lombardische Fraktion;The Lombard Faction;La facción lombarda;Fazione dei Longobardi;A Lombard Frakció;Lombardská frakce;A Lombard Frakció;De Lombard-factie;A facção lombarda;Ëîìáàğäíàÿ ôğàêöèÿ;Lombard-fraktio;x
