KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
reform_into_china_NEWS_LONG;The lands and peoples of China have once again been united. At the ceremony in Nanking, the unification was proclaimed and new cliques were created to help the administration of the country. This new Asian power seems determined to fight against colonialism and it seems better to befriend it before other nations cut us off from Chinese trade.;Les terres et les peuples de la Chine ont une fois de plus été unis. Lors de la cérémonie à Nankin, l'unification a été proclamée et de nouvelles cliques ont été créées pour aider l'administration du pays. Cette nouvelle puissance asiatique semble résolue dans le niveau de la lutte contre le colonialisme et il semble mieux faire amitié avec elle avant que les autres nations nous coupent des métiers chinois.;Die Länder und Völker Chinas sind wieder vereint. Bei der Zeremonie in Nanking wurde die Vereinigung proklamiert und neue Cliquen geschaffen, um die Verwaltung des Landes zu unterstützen. Diese neue asiatische Macht scheint in der Besoldungsgruppe des kämpfenden Kolonialismus zu sein, und es scheint besser, sich mit ihr zu befassen, bevor andere Nationen uns vom chinesischen Handel abschneiden;Ziemie i narody Chin po raz kolejny zosta³y zjednoczone. Na ceremonii w Nankinie, unifikacja zosta³a og³oszona i nowe kliki zosta³y stworzone, aby pomóc administracji kraju. Ta nowa moc Azji wydaje siê w klasie walki kolonializmu i wydaje siê, lepiej go zaprzyjaŸniæ, zanim inne narody odci¹³ nas od chiñskich transakcji.;Las tierras y los pueblos de China han vuelto a estar unidos. En la ceremonia en Nanking, se proclamó la unificación y se crearon nuevas camarillas para ayudar a la administración del país. Esta nueva potencia asiática parece en grado de luchar contra el colonialismo y parece mejor que se haga amigo de ella antes de que otras naciones nos separen de los oficios chinos.;Le terre e i popoli della Cina sono stati nuovamente uniti. Alla cerimonia a Nanchino, l'unificazione è stata proclamata e nuove cricche sono stati create per aiutare l'amministrazione del paese. Questa nuova potenza asiatica sembra in grado di combattere il colonialismo e ci conviene farceli amici prima che le altre nazioni ci taglino fuori dal mercato cinese.;A földek és népek Kína ismét hatására egyesült. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse a közigazgatás az ország. Ez az új ázsiai hatalom tûnik fokozatba harc gyarmatosítás és úgy tûnik, jobb, hogy a barátaink elõtt más népek vágott minket kínai kereskedések.;Zemì a národy Èíny byly opìt sjednoceny. Na obøadu v Nankingu bylo sjednocení sdìleno a vytvoøeny nové klíèe, které by pomohly administrativì zemì. Tato nová asijská moc se zdá bıt odhodlána bojovat proti kolonialismu a zdá se, e je lepší se s ní setkávat pøed tím, ne ostatní národy odøíznou nás od èínského obchodu.;A földek és népek Kína ismét hatására egyesült. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse a közigazgatás az ország. Ez az új ázsiai hatalom tûnik fokozatba harc gyarmatosítás és úgy tûnik, jobb, hogy a barátaink elôtt más népek vágott minket kínai kereskedések.;Het land en de volkeren van China hebben opnieuw verenigd. Tijdens de ceremonie in Nanking, werd de eenwording verkondigd en nieuwe kliekjes werden geschapen om de administratie van het land te helpen. Deze nieuwe Aziatische macht lijkt in de rang van vechten kolonialisme en het lijkt beter om het bevriend voordat andere landen ons afgesneden van de Chinese handel.;As terras e os povos da China voltaram a estar unidos. Na cerimônia em Nanking, a unificação foi proclamada e novas camarilhas foram criadas para ajudar a administração do país. Este novo poder asiático parece no grau de combater o colonialismo e parece melhor fazer amizade com ele antes que outras nações nos separem dos negócios chineses.;Çåìëè è íàğîäû Êèòàÿ âíîâü îáúåäèíèëèñü. Íà öåğåìîíèè â Íàíêèíå áûëî ïğîâîçãëàøåíî îáúåäèíåíèå è ñîçäàíû íîâûå êëèêè, ÷òîáû ïîìî÷ü àäìèíèñòğàöèè ñòğàíû. İòà íîâàÿ àçèàòñêàÿ âëàñòü, ïîõîæå, ğåøèëà áîğîòüñÿ ñ êîëîíèàëèçìîì, è, ïîõîæå, ëó÷øå ïîäğóæèòüñÿ ñ íåé, ïîêà äğóãèå ñòğàíû íå îòğåçàëè íàñ îò êèòàéñêîé òîğãîâëè.;Maat ja kansat Kiina ovat jälleen yhdistyneet. Tilaisuudessa Nankingissä yhdistymisen julistettiin ja uusia klikkien luotiin auttamaan hallinnon maan. Tämä uusi Aasian voima tuntuu luokan taistelevat kolonialismin ja se näyttää paremmin ystävystyä ennen muiden kansakuntien leikattu meidät pois Kiinan arvostelusta.;x
form_netherlands_title;The Seven United Provinces;Les sept Provinces-Unies;Die sieben Provinzen;Siedmiu Zjednoczone Prowincje;Las Siete Provincias Unidas;Le Sette Province Unite;A hét Egyesült Tartományok;Sedm sjednocenıch provincií;A hét Egyesült Tartományok;Zeven Verenigde Provinciën;As Sete Províncias Unidas;Ñåìü ñîşçíûõ ïğîâèíöèé;Seitsemän United maakunnat;x
form_netherlands_desc;We are the rightful heirs of the Seven Batavian Provinces;Nous sommes les héritiers légitimes des sept provinces de Batavie;Wir sind die rechtmäßigen Erben der sieben batavischen Provinzen;Jesteœmy prawowitymi dziedzicami Siedmiu batawii prowincjach;Somos los legítimos herederos de las Siete Provincias de Batavia;Noi siamo gli eredi legittimi delle sette province batave;Mi vagyunk a jogos örökösei a Hét Tartományok Batavian;Jsme oprávnìnımi dìdicemi sedmi Batavskıch provincií;Mi vagyunk a jogos örökösei a Hét Tartományok Batavian;Wij zijn de rechtmatige erfgenamen van de Zeven Provinciën Bataafse;Somos os legítimos herdeiros das Sete Províncias Batávicas;Ìû ÿâëÿåìñÿ çàêîííûìè íàñëåäíèêàìè ñåìè áàòàâñêèõ ïğîâèíöèé;Olemme laillinen perilliset Seitsemän batavia maakunnat;x
form_belgium_title;The $MONARCHTITLE$ of the Belgians;Le $MONARCHTITLE$ des Belges;Die $MONARCHTITLE$ der Belgier;$MONARCHTITLE$ Belgów;El $MONARCHTITLE$ de los belgas;Il $MONARCHTITLE$ dei Belgi;A $MONARCHTITLE$ Belgák;$MONARCHTITLE$ Belgièanù;A $MONARCHTITLE$ Belgák;De $MONARCHTITLE$ der Belgen;O $MONARCHTITLE$ dos belgas;$MONARCHTITLE$ áåëüãèéöåâ;$MONARCHTITLE$ of belgialaiset;x
form_belgium_desc;Our $MONARCHTITLE$ managed to unite together all the Southern Provinces into one entity;Notre $MONARCHTITLE$ a réussi à réunir toutes les provinces du Sud en une seule entité;Unser $MONARCHTITLE$ schaffte es, alle südlichen Provinzen zu einer Einheit zusammenzufassen;Nasz $MONARCHTITLE$ uda³o siê jednoczyæ wszystkie po³udniowych prowincjach w jedna jednostkê;Nuestro $MONARCHTITLE$ logró unir a todas las Provincias del Sur en una sola entidad;Il nostro $MONARCHTITLE$ è riuscito a riunire insieme tutte le province del sud in un unico stato;A $MONARCHTITLE$ sikerült egyesíteni együtt a déli tartományokban egyetlen egység;Naše $MONARCHTITLE$ se podaøilo spojit všechny jiní provincie do jedné entity;A $MONARCHTITLE$ sikerült egyesíteni együtt a déli tartományokban egyetlen egység;Onze $MONARCHTITLE$ geslaagd om alle zuidelijke provincies te verenigen in één entiteit;Nosso $MONARCHTITLE$ conseguiu unir todas as Províncias do Sul em uma única entidade;Íàøå $MONARCHTITLE$ óäàëîñü îáúåäèíèòü âñå Şæíûå ïğîâèíöèè â åäèíîå öåëîå;Meidän $MONARCHTITLE$ onnistui yhdistää yhteen kaikki Etelä maakunnat yhdeksi kokonaisuudeksi;x
form_spain_title;The end of the Reconquista;La fin de la Reconquista;Das Ende der Reconquista;Koniec rekonkwisty;El final de la Reconquista;La fine della Reconquista;A végén a Reconquista;Konec rekonquisty;A végén a Reconquista;Het einde van de Reconquista;O fim da Reconquista;Êîíåö Ğåêîíêèñòû;Lopussa Reconquista;x
form_spain_desc;There are no more moors in Iberia and the old fragmented kingdoms have been finally reunited;Il n'y a plus de landes en Ibérie et les anciens royaumes fragmentés ont finalement été réunis;Es gibt keine Moore mehr in Iberia und die alten zersplitterten Reiche sind endlich wieder vereinigt;Nie ma wiêcej cumuje w Iberii i starych rozdrobnionych królestw zosta³y ostatecznie spotka³y siê ponownie;Ya no hay páramos en Iberia y los viejos reinos fragmentados han sido finalmente reunidos;Non ci sono più Mori in Iberia e i vecchi regni frammentati sono stati finalmente riuniti;Nincs több lápok Iberia és a régi töredezett királyságok már végre újra összeállt;V Iberii u nejsou další zálivy a staré roztøíštìné království se koneènì spojily;Nincs több lápok Iberia és a régi töredezett királyságok már végre újra összeállt;Er zijn geen heidevelden meer op het Iberisch schiereiland en de oude gefragmenteerde koninkrijken zijn eindelijk herenigd;Não existem mais charnecas na Península Ibérica e os antigos reinos fragmentados foram finalmente reunidos;Â Èáåğèè áîëüøå íåò áîëîò, è ñòàğûå ôğàãìåíòèğîâàííûå êîğîëåâñòâà, íàêîíåö, âîññîåäèíèëèñü;Ei ole enää moors Iberian ja vanha hajanainen kuningaskunnat on vihdoin yhdistynyt uudelleen;x
form_ukraine_title;The Great Rus of Kiev;La Grande Rus de Kiev;Der Große Rus von Kiew;Wielki Rus Kijów;La Gran Rus de Kiev;Il grande Rus di Kiev;A Nagy Rus Kijev;Velkı Rus Kyjev;A Nagy Rus Kijev;De Grote Rus van Kiev;A Grande Rus de Kiev;Âåëèêàÿ Ğóñü Êèåâà;The Great Rus Kiova;x
form_ukraine_desc;In the middle ages, Rurik, a Viking adventurer, founded the Kievan Rus. We can reclaim his glorious heritage;Au moyen âge, Rurik, un aventurier viking, a fondé la Rus à Kiev. Nous pouvons récupérer son glorieux héritage;Im Mittelalter gründete Rurik, ein Wikinger-Abenteurer, den Kiewischen Rus. Wir können sein herrliches Erbe zurückfordern;W œredniowieczu, Rurik, awanturnik Viking, za³o¿y³ Rusi Kijowskiej. Mo¿emy odzyskaæ swoje chwalebne dziedzictwo;En la Edad Media, Rurik, un aventurero vikingo, fundó la Rus de Kievan. Podemos recuperar su gloriosa herencia;Nel Medioevo, Rurik, un avventuriero vichingo, fondò il Rus di Kiev. Siamo ora in grado di reclamare la sua eredità gloriosa;A középkorban, Rurik, a Viking kalandor, megalapította a Kijevi Rusz. Mi lehet visszaigényelni dicsõséges öröksége;Ve støedovìku zaloil Rurik, vikingskı dobrodruh, Kyjevskou Rus. Mùeme získat své slavné dìdictví;A középkorban, Rurik, a Viking kalandor, megalapította a Kijevi Rusz. Mi lehet visszaigényelni dicsõséges öröksége;In de middeleeuwen, Rurik, een Viking avonturier, oprichter van het Kievse Rijk. We kunnen zijn glorierijke erfgoed terug te winnen;Na Idade Média, Rurik, um aventureiro viking, fundou a Rússia Kievan. Podemos recuperar sua gloriosa herança;Â ñğåäíèå âåêà Ğşğèê, àâàíòşğèñò-âèêèíã, îñíîâàë Êèåâñêóş Ğóñü. Ìû ìîæåì âåğíóòü åãî ñëàâíîå íàñëåäèå;Keskiajalla, Rurik, Viking seikkailija perustettu Kiovan Rus. Voimme takaisin hänen kunniakas perintö;x
form_philippines_title;Unification of the Philippines;Unification des Philippines;Vereinigung der Philippinen;Ujednolicenie Filipin;Unificación de las Filipinas;Unificazione delle Filippine;Egyesítés a Fülöp-szigeteken;Sjednocení Filipín;Egyesítés a Fülöp-szigeteken;Eenwording van de Filippijnen;Unificação das Filipinas;Îáúåäèíåíèå Ôèëèïïèí;Yhtenäistämisestä Filippiineillä;x
form_philippines_desc;There are no more fragmented sultanates in the Philippines. Let’s claim our rightful position in the islands!;Il n'y a plus de sultanats fragmentés aux Philippines. Réclamons notre position légitime dans les îles!;Auf den Philippinen gibt es keine fragmentierten Sultanate mehr. Behaupten wir unsere richtige Position auf den Inseln!;Nie ma bardziej podzielony su³tanatów na Filipinach. Miejmy twierdza nale¿ne nam miejsce w na wyspach!;No hay más sultanatos fragmentados en Filipinas. Vamos a reclamar nuestra legítima posición en las islas!;Non ci sono più sultanati frammentati nelle Filippine. Affermiamo dunque la nostra giusta posizione nelle isole!;Nincs több töredezett szultánságok a Fülöp-szigeteken. Nézzük állítják a jogos helyét a szigeteken!;Na Filipínách nejsou ádné fragmentované sultanáty. Vyadujme si naše oprávnìné postavení na ostrovech!;Nincs több töredezett szultánságok a Fülöp-szigeteken. Nézzük állítják a jogos helyét a szigeteken!;Er zijn niet meer gefragmenteerd sultanaten in de Filippijnen. Laten we beweren onze rechtmatige positie in de eilanden!;Não há mais sultanatos fragmentados nas Filipinas. Vamos reivindicar nossa legítima posição nas ilhas!;Íà Ôèëèïïèíàõ áîëüøå íåò ôğàãìåíòèğîâàííûõ ñóëòàíàòîâ. Äàâàéòå çàÿâèì î íàøåé çàêîííîé ïîçèöèè íà îñòğîâàõ!;Ei ole olemassa hajanaisempaa sulttaani- Filippiineillä. Oletetaan väittävät meidän kuuluva asema saarilla!;x
form_malaya_title;Malay lands;Terres malaises;Malaiische Länder;ziemie Malay;Tierras malayas;Terre malesi;maláj földeket;Malajské zemì;maláj földeket;Malay landt;Terras malaias;Ìàëàéñêèå çåìëè;Malaiji maat;x
form_malaya_desc;Stretching from the Strait of Malacca to Singapore, the Masvlay peoples finally are united under a single country;S'étendant du détroit de Malacca à Singapour, les peuples malais sont enfin unis dans un pays unique;Von der Straße von Malacca nach Singapur erstrecken sich die malaiischen Völker schließlich unter einem einzigartigen Land;Rozci¹gaj¹cy siê od Cieœniny Malakka do Singapuru, Malajskiego narody w koñcu ³¹cza siê w ramach unikalnego kraju;Estirándose desde el estrecho de Malaca a Singapur, los pueblos malayos finalmente se unen bajo un único país;Distribuitisi dallo Stretto di Malacca a Singapore, i popoli malesi, infine, sono uniti sotto un'unica nazione;Nyújtás a Malaka-szoros Szingapúr, a maláj nép végül egyesül alatt egyedi ország;Rozkládající se od úiny Malacky do Singapuru, lidé Masvlay koneènì jsou spojeni pod jednou zemí;Nyújtás a Malaka-szoros Szingapúr, a maláj nép végül egyesül alatt egyedi ország;Die zich uitstrekt van de Straat van Malakka naar Singapore, eindelijk de Maleise volken zijn verenigd onder een uniek land;Esticando-se do Estreito de Malaca para Cingapura, os povos malaios finalmente estão unidos sob um único país;Ğàñòÿãèâàÿñü îò Ìàëàêêñêîãî ïğîëèâà â Ñèíãàïóğ, íàğîäû Ìàâñëåÿ, íàêîíåö, îáúåäèíåíû â åäèíóş ñòğàíó;Ulottuu salmen Malacca ja Singaporen, Malaiji kansojen lopulta yhdistää alla ainutlaatuinen maa;x
