carribean;Carribean;Caraïbique;Karibisch;Karaibska;Caribeña Nativa;Caraibico;Karib;Carribean;Karib;Carribean;Caribenha Ameríndia;Êàğèáñêàÿ;Karibian;x
carthaginian;Carthaginian;Carthaginoise;Karthagisch;Kartagiñska;Cartaginesa;Cartaginese;Karthágói;Kartáginski;Karthágói;Carthaagse;Cartaginesa;Êàğôàãåíñêàÿ;Kartaginolainen;x
cat;Feline;Féline;Katzenhaft;Kocia;Gata;felino;macskaféle;Koèkoviti;macskaféle;katachtig;Gata;Êîòñêàÿ;kissaeläin;x
ceian;Ceian;Céienne;Cheisch;Czejska;Cheya;Ceiana;Ceian;Ceian;Ceian;Ceian;Ceiã;×åéñêàÿ;Ceian;x
celtiberian;Celtiberian;Celtibère;Keltiberisch;Celtyberyjska;Celtíbera;Celtiberica;Celtiberian;Keltiberski;Celtiberian;Keltiberisch;Celtibera;Êåëüòèáåğñêàÿ;Celtiberian;x
celtic;Celtic;Celtique;Keltisch;Celtycka;Céltico;Celtica;Kelta;Keltski;Kelta;Keltisch;Céltico;Êåëüòñêàÿ;kelttiläinen;x
celtic_african;Gurmian;Gurmienne;Gurmisch;Gurmska;Gurmia;Gurmiana;Gurmian;Gurmian;Gurmian;Gurmian;Gurmiana;Ãóğìñêàÿ;Gurmian;x
celtic_american;Balirigean;Balirigéenne;Balirigisch;Balirid¿ska;Balirigéa;Balirigeana;Balirigean;Balirigean;Balirigean;Balirigean;Balirigeã;Áàëèğèãñêàÿ;Balirigean;x
celtic_australian;Gainemian;Gainémienne;Gainemisch;Gainemska;Gaynemia;Gainemiana;Gainemian;Gainemian;Gainemian;Gainemian;Gainemiana;Ãàéíåìñêàÿ;Gainemian;x
central_algonquian;Central Algonquian;Algonquienne Centrale;Zentralalgonkinisch;Œrodkowoalgonkiañska;Algonquina Central;Algonchino Centrale;Közép-Algonquian;Centrální Algonquian;Közép-Algonquian;Centraal Algonquian;Algonquiana Central;Öåíòğàëüíîàëãîíêèíñêàÿ;Keski Algonquian;x
cetuan;Cetuan;Cétuenne;Zetuisch;Ketska;Cetueña;Cetuana;Cetuan;Cetuan;Cetuan;Cetuan;Cetuã;Êåòñêàÿ;Cetuan;x
chacoan;Chacoan;Chaco;Chaco;Chaco;Chaco;Chacoano;Chaco;Chacoan;Chaco;Chacoan;Chacoã;×àêî;Chacoan;x
cherokee;Cherokee;Tchérokîe;Cherokee;Czirokeska;Cheroqui;Cherokeeo;Cherokee;Cherokee;Cherokee;Cherokee;Cheroqui;×åğîêè;Cherokee;x
chibchan;Chibchan;Chibcha;Chibcha;Czibczañska;Chibchense;Chibchano;Chibchan;Chibchan;Chibchan;Chibcha;Chibchana;×èá÷àíñêàÿ;Chibchan;x
coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;Coigriche;x
copts;Copts;Copte;Koptisch;Koptyjska;Copta;Copta;Kopt;Koptské;Kopt;Coptisch;Copta;Êîïòñêàÿ;Koptilainen;x
crni;Crni;Tzeurnie;Zrni;Tzerñska;Tzerní;Crni;Crni;Crni;Crni;Crni;Crni;Öîğíàÿ;Crni;x
czarny;Czarny;Tcharnie;Tscharnisch;Czarna;Charní;Czarny;Czarny;Czarny;Czarny;Czarny;Czarny;×àğíàÿ;Czarny;x
dacian;Dacian;Dace;Dakisch;Dacka;Dacia;Dacia;Dacian;Dacian;Dacian;Dacian;Dácia;Äàêñêàÿ;Dacian;x
dacian_african;Daciafrican;Daçafricaine;Dakafrikanisch;Dakafrykañska;Daciafricana;Daciafricana;Daciafrican;Daciafrican;Daciafrican;Daciafrican;Daciafricana;Äàêüàôğèêàíñêàÿ;Daciafrican;x
dacian_american;Daciamerican;Daçaméricaine;Dakamerikanisch;Dakamerykañska;Daciamericana;Daciamericana;Daciamerican;Daciamerican;Daciamerican;Daciamerican;Daciamericana;Äàêüàìåğèêàíñêàÿ;Daciamerican;x
dacian_australian;Daciaustralian;Daçaustralienne;Dakaustralianisch;Dakaustralijska;Daciaustraliana;Daciaustraliana;Daciaustralian;Daciaustralian;Daciaustralian;Daciaustralian;Daciaustraliana;Äàêüàâñòğàëèéñêàÿ;Daciaustralian;x
dakshin;Dakshin;Daquechine;Dakschin;Dakszin;Daquechí;Dacscin;Dakshin;Dakshin;Dakshin;Dakshin;Daquexina;Äàêøèí;Dakshin;x
deagostinian;Deagostinian;Daugustinienne;Deagostinisch;Deagostiñska;Deagustinia;Deagostiniana;Deagostinian;Deagostinian;Deagostinian;Deagostinian;Deagostinhana;Äåàâãóãñòèíñêàÿ;Deagostinian;x
delian;Délian;Délienne;Delisch;De³ska;Delia;Deliano;Délian;Délian;Délian;Délian;Dêliana;Äåëèéñêàÿ;Délian;x
dhen;Ğen;Ğen;Ğen;Ğen;Ğen;Dhen;Dhen;Dhen;Dhen;Dhen;Ğen;Äıí;Dhen;x
dinajidad;Dinajidad;Dinadjidad;Dinadschidad;Dinad¿idad;Dinayidad;Dinagidà;Dinajidad;Dinajidad;Dinajidad;Dinajidad;Dinajidad;Äèíàäæèäàä;Dinajidad;x
dog_culture;Dog;Chien;Hündisch;Psia;Perra;Cane;Pes;Kutya;Hond;Cadela;Cadela;Äèíêà;Koira;x
dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Dongren;Äóíæıíü;Dongren;x
dragon_culture;Dragon;Dragon;Drachen;Dragoñska;Dragón;Drago;Drak;Sárkány;Draak;Dragoa;Dragoa;Ñìîêñêàÿ;Lohikäärme;x
dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;Dramor;x
duck_culture;Duck;Canard;Ente;Kacza;Pata;Papero;Kachna;Kacsa;Eend;Pato;Pato;Óòêà;Ankka;x
dummy;No Culture;Sans-Culture;Kulturlos;Brak Kultury;Sin Cultura;Senza Cultura;Nincs Kultúra;ádná Kultura;Nincs Kultúra;Geen Cultuur;Nenhuma Cultura;Áåñêóëüòóğíàÿ;Ei Kulttuuria;x
dytic_african;Dendrytic;Dendrytique;Dendrytisch;Dendrytska;Dendrítica;Dendritica;Dendrytic;Dendrytic;Dendrytic;Dendrytic;Dendrítica;Äåíäğèòñêàÿ;Dendrytic;x
dytic_american;Elysian;Élyséenne;Elysäisch;Elizejska;Elísea;Elisia;Elysian;Elysian;Elysian;Elysian;Elísia;Åëèñåéñêàÿ;Elysian;x
dytic_australian;Catogreek;Catogrecque;Katogriechisch;Katogrecka;Catogriega;Catogreca;Catogreek;Catogreek;Catogreek;Catogreek;Catogrega;Êàòîãğå÷åñêàÿ;Catogreek;x
dytic_g;Dytic;Dytique;Dytisch;Dyticka;Dítico;Ditica;Dytic;Dytic;Dytic;Dytisch;Dítico;Äèòèéñêàÿ;Dytic;x
ealimi;Ealimi;Éalimi;Ealimi;Ealimi;Ealimi;Ealimi;Ealimi;Ealimi;Ealimi;Ealimi;Ealimi;İàëèìè;Ealimi;x
eastern_algonquian;Eastern Algonquian;Algonquienne Orientale;Ostalgonkinisch;Wschodnioalgonkiañska;Algonquina Oriental;Algonchino Orientale;Keleti Algonquian;Vichodní Algonquian;Keleti Algonquian;Oost-Algonquian;Algonquiana Oriental;Âîñòî÷íîàëãîíêèíñêàÿ;Itäinen Algonquian;x
elephant_culture;Elephant;Éléphant;Elefant;S³oniowata;Elefanta;Elefante;Elefánt;Slon;Elefánt;Elefoa;Elefoa;Ñëîí;Elefantti;x
elsinorian;Elsinorian;Elseneuroise;Helsingörisch;Elsynorowska;Elsinoresa;Elsinoriana;Elsinorian;Elsinorian;Elsinorian;Elsinorian;Elsynoresa;Õåëüñèíã¸ğñêàÿ;Elsinorian;x
english;English;Anglaise;Englisch;Angielska;Inglesa;Inglese;Angol;Anglictina;Angol;Engels;Inglesa;Àíãëèéñêàÿ;Englanti;x
epicrateian;Epicrateian;Épicratienne;Epikrateisch;Epikratska;Epicracia;Epicrateia;Epikratész;Epikrateián;Epikratész;Epicratiaans;Epicrateiana;İïèêğàòñêàÿ;Epikratealainen;x
eskaleut;Eskaleut;Eskaléoute;Eskimaleutisch;Eskaleucka;Escaleutiana;Eschimese;Eskaleut;Eskaleut;Eskaleut;Eskaleut;Escaleuta;İñêèìàëåóòñêàÿ;Eskaleut;x
esmer;Esmer;Esmer;Esmer;Esmer;Esmer;Esmer;Esmer;Esmer;Esmer;Esmer;Esmer;İñìåğ;Esmer;x
etrurian;Etrurian;Étrurienne;Etruskisch;Etruska;Etrusca;Etrusca;Etrúri;Etrurian;Etrúri;Etrurisch;Etrusca;İòğóññêàÿ;Etrurilainen;x
euxinian;Euxinian;Euxinienne;Euxinisch;Euksiñska;Euxinia;Eusiniana;Euxinian;Euxinian;Euxinian;Euxinian;Euxiniana;İâêñèíñêàÿ;Euxinian;x
falklander;Falklander;Malouinaise;Falkländisch;Falklandzka;Malvinera;Falklandese;Falklander;Falklander;Falklander;Falklander;Malvinense;Ôîëêëåíäñêàÿ;Falklander;x
fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Fekete;Ôåêåòå;Fekete;x
foederatus;Foederatus;Fédérée;Föderatisch;Fojderatska;Federada;Federazio;Föderác;Federaská;Föderác;Federatisch;Federal;Ôåäåğàòñêàÿ;Federaalainen;x
frankish;Frankish;Francique;Altfränkisch;Frankijska;Fráncica;Franco;Frank;Frankish;Frank;Frankische;Franca;Ôğàíêñêàÿ;Frankkien;x
frencharab;Faransh;Françarabe;Frankrabisch;Frankarabska;Francárabe;Faranscì;Farans;Faransh;Farans;Faransh;Francárabe;Ôğàíêàğàáñêàÿ;Faransh;x
gadolite;Gadolite;Gadolite;Gadolitisch;Gadolitska;Gadolita;Gadolita;Gadolit;Gadolit;Gadolit;Gadoliet;Gadolita;Ãàäîëüñêàÿ;Gadoliitti;x
galatian;Galatian;Galate;Galaterisch;Galacka;Gálata;Galata;Galata;Galatski;Galata;Galaten;Gálata;Ãàëàòñêàÿ;Galatian;x
galician;Galician;Galicienne;Galicisch;Galicyjska;Gallega;Gallese;Galíciai;Galicijština;Galíciai;Galicisch;Galega;Ãàëèñèéñêàÿ;Galician;x
garanian;Garanian;Garanienne;Garanisch;Garañska;Garaneña;Garanese;Garanian;Garanian;Garanian;Garanian;Garaniana;Ãàğàíèéñêàÿ;Garanian;x
garibaldine;Garibaldine;Garibaldine;Garibaldisch;Garibaldiñska;Garibaldina;Garibaldina;Garibaldine;Garibaldine;Garibaldine;Garibaldine;Garibaldinha;Ãàğèáàëäèéñêàÿ;Garibaldine;x
gaul;Gaul;Gaul;Gall;Gal;Gal;Gall;Gall;Gal;Gall;Gallisch;Gaul;Ãàëëüñêàÿ;Gall;x
gaulish;Gaulish;Gauloise;Gallisch;Galijska;Gala;Gallica;Gall;Galski;Gall;Gallisch;Gaulesa;Ãàëëüñêàÿ;Gallialainen;x
geheimnisdeutsch;Geheimnis-Deutsch;Guéhaïmnisse-Doïtche;Geheimnisdeutsch;Gehajmnisdojcka;Guehaymnisdoyche;Gheaimnisdoic';Geheimnis-Deutsch;Geheimnis-Deutsch;Geheimnis-Deutsch;Geheimnis-Deutsch;Guehâimnis-Doitche;Ãåãåéìíèñäîé÷ñêàÿ;Geheimnis-Deutsch;x
german;Germanic;Germanique;Germanisch;Germañski;Germánico;Germanico;Germán;Germánski;Germán;Germaans;Germânica;Íåìåöêàÿ;Germaaninen;x
getian;Getian;Gète;Getisch;Getska;Geta;Geta;Getian;Getian;Getian;Getian;Geta;Ãåòñêàÿ;Getian;x
gothic;Gothic;Gothique;Gotisch;Gotycka;Goda;Gotica;Gótikus;Goticki;Gótikus;Gotisch;Gótica;Ãîòèêñêàÿ;Gotiikka;x
gothic_g;Gothic;Gothique;Gotisch;Gotycka;Goda;Gotica;Gótikus;Goticki;Gótikus;Gotisch;Gótica;Ãîòèêñêàÿ;Gotiikka;x
grootdesseyn;Grootdesseyn;Grand'desseinoise;Großdesseinisch;Chrotdesejñska;Jrotdesseña;Grotdessina;Grootdesseyn;Grootdesseyn;Grootdesseyn;Grootdesseyn;Grôt-Dessénha;Õğîòäåññåéíñêàÿ;Grootdesseyn;x
guillaumois;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;Gallo;x
guiscard;Guiscard;Guiscarde;Guiskardisch;Guiscardska;Guiscarda;Guiscarda;Guiscard;Guiscard;Guiscard;Guiscard;Guiscarda;Ãâèñêàğñêàÿ;Guiscard;x
guldfjallling;Guldfjallling;Gouldfyallingue;Guldfjallling;Guldfjallling;Guldfyallingue;Guldfiallinga;Guldfjallling;Guldfjallling;Guldfjallling;Guldfjallling;Guldafyalínga;Ãóëäôÿëèíãñêàÿ;Guldfjallling;x
guney;Güney;Güney;Güney;Gynej;Güney;Güney;Güney;Güney;Güney;Güney;Güney;Ãşíåé;Güney;x
guyanese;Guyanese;Guyanaise;Guyanisch;Gujañska;Guyanesa;Guianase;Guyanai;Guyanskı;Guyanai;Guyanees;Guyanesa;Ãàéàíñêàÿ;Guyanalainen;x
gypsy;Romani (Gypsy);Romanie (Bohémienne);Roma (Zigeunerisch);Cygañska;Romaní (Gitana);Gitano (Zingaro);Roma (Cigány);Romani (Cikánští);Roma (Cigány);Romani (Zigeuner);Romani (Cigana);Öûãàíñêàÿ;Romani (Gypsy);x
harari;Harari;Hararie;Aderi;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Harari;Õàğàğè;Harari;x
harpeian;Harpeian;Harpéienne;Harpeisch;Harpejska;Arpeña;Arpeiana;Harpeian;Harpeian;Harpeian;Harpeian;Harpeiana;Ãàğïåéñêàÿ;Harpeian;x
hedgehog_culture;Hedgehog;Hérisson;Igel;Je¿ynowa;Erizo;Riccio;Jeek;Sündisznó;Egel;Ouriço;Ouriço;¨æ;Siili;x
heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Heiren;Õıéæıíü;Heiren;x
hilterian;Hilterian;Hiltérienne;Hilterisch;Hilterska;Hilteriana;Hilteriana;Hilterian;Hilterian;Hilterian;Hilterian;Hilteriana;Ãèëüòåğñêàÿ;Hilterian;x
hindustani_proper;Hindustani;Hindoustani;Hindustani;Hindustanski;Indostánico;Hindustani;Hindusztáni;Hindustánskı;Hindusztáni;Hindoestaans;Hindustani;Khindustani;Hindustani;x
hittite;Hittite;Hittite;Hethitisch;Hetycka;Hitita;Ittita;Hettita;Hittite;Hettita;Hettitisch;Hitita;Õåòòñêàÿ;Heettiläiset;x
hittite_american;Anniniyami;Anniniyami;Anniniyami;Anninijami;Anniniyami;Anniniyami;Anniniyami;Anniniyami;Anniniyami;Anniniyami;Anniniyami;Àííèíèÿìè;Anniniyami;x
hittite_australian;Kattanda;Kattanda;Kattanda;Kattanda;Kattanda;Kattanda;Kattanda;Kattanda;Kattanda;Kattanda;Cattanda;Êàòòàíäà;Kattanda;x
hittite_g;Hittite;Hittite;Hethitisch;Hetycka;Hitita;Ittita;Hettita;Hittite;Hettita;Hettitisch;Hitita;Õåòòñêàÿ;Heettiläiset;x
hjartnaaeter;Hjartnaäter;Hyartnaéteuse;Hjartnaäter;Hjartnaeterska;Yartnaétera;Hiartnaetera;Hjartnaäter;Hjartnaäter;Hjartnaäter;Hjartnaäter;Hyartanêta;Ãÿğòíàıòğñêàÿ;Hjartnaäter;x
hnedy;Hnêdi;Hnyédie;Hnjedi;Chnedska;Ñedí;Hnêdi;Hnêdi;Hnìdi;Hnêdi;Hnêdi;Hnhêdí;Õíåäàÿ;Hnêdi;x
holmgardr;Holmgardrian;Holmgardoise;Holmgärtnerisch;Holmgardska;Holmogardesa;Olmogardese;Holmgardrian;Holmgardrian;Holmgardrian;Holmgardrian;Holmgardiana;Ãîëìãàğäñêàÿ;Holmgardrian;x
hopeajokan;Hopeajokan;Hopéaïoquienne;Hopeajokisch;Hopeajokska;Hopeayocana;Opeagiocana;Hopeajokan;Hopeajokan;Hopeajokan;Hopeajokan;Hopeayoquí;Õîïåàüîêñêàÿ;Hopeajokan;x
horse;Equine;Jument;Pferd;Koñska;Yegua;Equino;Ló;Konì;Ló;Paarden;Égua;Ëîøàäèíàÿ;Hevos-;x
hulwud;Hulwud;Houlvoude;Hulwuder;Chulwudska;Hulwud;Hulwud;Hulwud;Hulwud;Hulwud;Hulwud;Hulwud;Õóëâóä;Hulwud;x
