KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
nahuatl;Nahuatl;Nahuatles;Nahuatl;Nahuatlstwo;Náhuatl;;;;;;Náuatl;Íàóàòëü;;x
nestorian;Nestorian;Nestoriens;Nestorianisch;Nestorianizm;Nestorianista;;;;;;Nestoriano;Íåñòîğèàíñêèå;;x
norse_pagan;Norse Pagan;Païens Nordiques;Nordisch Heidnisch;Pogañstwo Nordyjskie;Pagana Nórdica;;;;;;Pagão Nórdico;Ñêàíäèíàâñêèå ßçû÷åñêèå;;x
norse_pagan_reformed;Odinism;Odinisme;Odinisch;Odyñstwo;Odinista;;;;;;Odinista;Îäèíñêèå;;x
orthodox_heresy;Orthodox Heresy;Hérétique Orthodoxe;Orthodox Ketzerisch;Prawos³awne Kacerstwo;Herética Ortodoxa;;;;;;Heresia Ortodoxa;Ïğàâîñëàâíûå Åğåòèêè;;x
pagan_religion_reformed;Reformed Pagan;Païens Réformés;Reformiert Heidnisch;Pogañstwo Reformijskie;Pagana Reformada;;;;;;Reformed Pagan;Ïğåîáğàçîâàííûå ßçû÷åñêèå;;x
paulician;Paulician;Pauliciens;Paulikianisch;Paulicjanie;Paulista;;;;;;Paulician;Ïàâëèêèàíå;;x
pre_schism;Chalcedonian;Calcédoniens;Chalcedonisch;Chalcedoñstwo;Calcedonia;;;;;;Calcedônico;Õàëêèäîíñêèå;;x
protestant_heresy;Protestant Heresy;Hérétiques Protestantes;Evangelisch Ketzerisch;Protestanckie Kacerstwo;Herética Protestante;;;;;;Heresia Protestante;Ïğîòåñòàíòû Åğåòèêè;;x
ritualistic;Ritualistic;Ritualistic;Ritualistisch;Ritualistic;Ritualistic;;;;;;Ritualistic;Ğèòóàëèñòè÷åñêèé;;x
samaritan;Samaritan;Samaritains;Samariter;Samarytanizm;Samaritana;;;;;;Samaritano;Ñàìàğèòÿíñêèå;;x
scythian_pagan;Scythian;Scythes;Skythisch;Scytyjstwo;Escita;;;;;;Cita;Ñêèôñêèå;;x
shamanism;Fetishist;Fétichistes;Fetischist;Fetyszyzm;Fetichista;;;;;;Fetichista;Ôåòèøèñòñêèå;;x
shiite_heresy;Shiite Heresy;Hérétiques Chiites;Schiitisch Ketzerisch;Szyicke Kacerstwo;Herética Chiita;;;;;;Heresia Xiita;Øèéòñêèå Åğåòèêè;;x
siberian_pagan_reformed;Turumism;Turumistes;Turumisch;Turumiszm;Turumí;;;;;;Turumism;Òóğóìñêèå;;x
slavic_pagan_reformed;Slavic;Slaves;Slawisch;S³owiañstwo;Eslava;;;;;;Eslavo;Ñëàâÿíñêèå;;x
sunni_heresy;Sunni Heresy;Hérétiques Sunnites;Sunnitisch Ketzerisch;Sunnicke Kacerstwo;Herética Sunita;;;;;;Heresia Sunita;Ñóííèòû Åğåòèêè;;x
tengri_pagan;Tengri Pagan;Païens Tengristes;Tengri-Heidnisch;Tengrijskie Pogañstwo;Pagana Tengrista;;;;;;Tengri Pagan;Òåíãğèàíñêèå ßçû÷åñêèå;;x
tengri_pagan_reformed;Tengri;Tengristes;Tengris Kultisch;Tengrijstwo;Tengriana;;;;;;Tengri;Òåíãğèàíñêèå;;x
tibet_bon;Bön;Bön;Bön;Bön;Bön;;;;;;Bön;Áîí;;x
totemism;Totemism;Totémistes;Totemistisch;Totemizm;Totemista;;;;;;Totemismo;Òîòåìèñòè÷åñêèå;;x
waldensian;Waldensian;Vaudois;Waldensisch;Waldensi;Valdense;;;;;;Valdense;Âàëüäåíñû;;x
west_african_pagan_reformed;West African;Africains Occidentaux;Westafrikanisch;Zachodnioafrykañstwo;Africana Occidental;;;;;;Africano Ocidental;Çàïàäíîàôğèêàíñêèå;;x
yazidi;Yazidi;Yézidis;Jesidisch;Jezydyzm;Yazidí;;;;;;Yazidi;Åçèäû;;x
zamolxism;Zamolxism;Zamolxistes;Zamolxisch;Zamolxizm;Zamolxista;;;;;;Zamolxismo;Çàëìîêñèñêèå;;x
zikri;Zikri;Zikris;Zikrit;Zikryci;Zikrí;;;;;;Zikri;Çèêğè;;x
zoroastrian;Zoroastrian;Zoroastriens;Zoroastrisch;Zaratusztrianizm;Zoroastriana;;;;;;Zoroastrista;Çîğîàñòğèéñêèå;;x
zoroastrian_heresy;Zoroastrian Heresy;Hérétiques Zoroastriens;Zoroastrisch Ketzerisch;Zaratusztriañskie Kacerstwo;Herética Zoroastriana;;;;;;Heresia Zoroastriana;Çîğîàñòğèéñêèå Åğåòèêè;;x
zun_pagan_reformed;Zun;Zunistes;Zunisch;Zunizm;Zuní;;;;;;Zun;Çóí;;x
#RELIGIONS FOR THE DIPLO SCREEN;;;;;;;;;;;;;;x
zzz_religions;Religions;Religions;Religionen;Religie;Religiones;;;;;;Religiões;Ğåëèãèè;;x
zzz_religion_adamites;§HReligion§!: Adamitism;§HReligion§!: Adamites;§HReligion§!: Adamitisch;§HReligia§!: Adamityzm;§HReligión§!: Adanita;;;;;;§HReligião§!: Adamitismo;§HĞåëèãèÿ§!: Àäàìèòñêèå;;x
zzz_religion_animist;§HReligion§!: Animist;§HReligion§!: Animistes;§HReligion§!: Animistisch;§HReligia§!: Animizm;§HReligión§!: Animista;;;;;;§HReligião§!: Animista;§HĞåëèãèÿ§!: Àíèìèñòè÷åñêèå;;x
zzz_religion_arab_pagan;§HReligion§!: Bedouin Paganism;§HReligion§!: Païens Bédouins;§HReligion§!: Beduinisch-Heidnisch;§HReligia§!: Pogañstwo Beduiñskie;§HReligión§!: Pagana Beduina;;;;;;§HReligião§!: Paganismo beduíno;§HĞåëèãèÿ§!: Áåäóèíñêèå ßçû÷åñêèå;;x
zzz_religion_arian;§HReligion§!: Arianism;§HReligion§!: Arianites;§HReligion§!: Arianisch;§HReligia§!: Arianizm;§HReligión§!: Arriana;;;;;;§HReligião§!: Arianismo;§HĞåëèãèÿ§!: Àğèàíñêèå;;x
zzz_religion_aztec_reformed;§HReligion§!: Aztec;§HReligion§!: Aztèques;§HReligion§!: Aztekisch;§HReligia§!: Aztecstwo;§HReligión§!: Azteca;;;;;;§HReligião§!: Asteca;§HĞåëèãèÿ§!: Àöòåêñêèå;;x
zzz_religion_baltic_pagan;§HReligion§!: Baltic Pagan;§HReligion§!: Païens Baltiques;§HReligion§!: Baltisch Heidnisch;§HReligia§!: Pogañstwo Ba³tyckie;§HReligión§!: Pagana Báltica;;;;;;§HReligião§!: Pagão Báltico;§HĞåëèãèÿ§!: Áàëòèéñêèå ßçû÷åñêèå;;x
zzz_religion_baltic_pagan_reformed;§HReligion§!: Baltic;§HReligion§!: Baltiques;§HReligion§!: Baltisch;§HReligia§!: Ba³tycstwo;§HReligión§!: Báltica;;;;;;§HReligião§!: Báltico;§HĞåëèãèÿ§!: Áàëòèéñêèå;;x
zzz_religion_bektashi;§HReligion§!: Bektashi;§HReligion§!: Bektachis;§HReligion§!: Bektaschi;§HReligia§!: Bektaszijja;§HReligión§!: Bektashí;;;;;;§HReligião§!: Bektashi;§HĞåëèãèÿ§!: Áåêòàøè;;x
zzz_religion_bogomilist;§HReligion§!: Bogomilist;§HReligion§!: Bogomilites;§HReligion§!: Bogomilisch;§HReligia§!: Bogomili;§HReligión§!: Bogomila;;;;;;§HReligião§!: Bogomilista;§HĞåëèãèÿ§!: Áîãîìèëû;;x
zzz_religion_canaanite;§HReligion§!: Canaanite;§HReligion§!: Cananéens;§HReligion§!: Kanaanitisch;§HReligia§!: Kananejstwo;§HReligión§!: Cananea;;;;;;§HReligião§!: Cananeu;§HĞåëèãèÿ§!: Êàíààíèòè;;x
zzz_religion_cathar;§HReligion§!: Cathar;§HReligion§!: Cathares;§HReligion§!: Katharisch;§HReligia§!: Katarzy;§HReligión§!: Cátara;;;;;;§HReligião§!: Cátaro;§HĞåëèãèÿ§!: Êàòàğû;;x
zzz_religion_catholic;§HReligion§!: Catholic;§HReligion§!: Catholiques;§HReligion§!: Katholisch;§HReligia§!: Katolicyzm;§HReligión§!: Católica;;;;;;§HReligião§!: Católico;§HĞåëèãèÿ§!: Êàòîëèêè;;x
zzz_religion_catholic_heresy;§HReligion§!: Catholic Heresy;§HReligion§!: Hérétiques Catholiques;§HReligion§!: Katholisch-Ketzerisch;§HReligia§!: Katolickie Kacerstwo;§HReligión§!: Herética Católica;;;;;;§HReligião§!: Heresia Católica;§HĞåëèãèÿ§!: Êàòîëè÷åñêèå Åğåòèêè;;x
zzz_religion_coptic;§HReligion§!: Coptic;§HReligion§!: Coptes;§HReligion§!: Koptisch;§HReligia§!: Koptyjsk;§HReligión§!: Copta;;;;;;§HReligião§!: Copta;§HĞåëèãèÿ§!: Êîïòû;;x
zzz_religion_cybelene;§HReligion§!: Cybelene;§HReligion§!: Cybelènes;§HReligion§!: Kybeles Kultisch;§HReligia§!: Kybeleñstwo;§HReligión§!: Cybelene;;;;;;§HReligião§!: Cybelene;§HĞåëèãèÿ§!: Êèáåëàñêèå;;x
zzz_religion_druidist;§HReligion§!: Druidism;§HReligion§!: Druidistes;§HReligion§!: Druidisch;§HReligia§!: Druidyzm;§HReligión§!: Druidica;;;;;;§HReligião§!: Druidismo;§HĞåëèãèÿ§!: Äğóèäñêèå;;x
zzz_religion_druze;§HReligion§!: Druze;§HReligion§!: Druzes;§HReligion§!: Druse;§HReligia§!: Druzyjstwo;§HReligión§!: Drusa;;;;;;§HReligião§!: Druze;§HĞåëèãèÿ§!: Äğóçñêèå;;x
zzz_religion_dummy_religion;§HReligion§!: (Religion);§HReligion§!: (Religion);§HReligion§!: (Religion);§HReligia§!: (Religia);§HReligión§!: (Religión);;;;;;§HReligião§!: (Religião);§HĞåëèãèÿ§!: (Ğåëèãèÿ);;x
zzz_religion_finnish_pagan;§HReligion§!: Finnish Pagan;§HReligion§!: Païens Finlandais;§HReligion§!: Finnisch Heidnisch;§HReligia§!: Pogañstwo Fiñskie;§HReligión§!: Pagana Finlandesa;;;;;;§HReligião§!: Pagão Finlandês;§HĞåëèãèÿ§!: Ôèíñêèå ßçû÷åñêèå;;x
zzz_religion_finnish_pagan_reformed;§HReligion§!: Finnish;§HReligion§!: Finlandais;§HReligion§!: Finnisch;§HReligia§!: Fiñstwo;§HReligión§!: Finlandesa;;;;;;§HReligião§!: Finlandês;§HĞåëèãèÿ§!: Ôèíñêèå;;x
zzz_religion_fraticelli;§HReligion§!: Fraticelli;§HReligion§!: Fraticelles;§HReligion§!: Fraticelli;§HReligia§!: Fraticelli;§HReligión§!: Fraticelli;;;;;;§HReligião§!: Fraticelli;§HĞåëèãèÿ§!: Ôğàòè÷åëëè;;x
zzz_religion_gelugpa;§HReligion§!: Gelugpa;§HReligion§!: Gelugpa;§HReligion§!: Gelugpa;§HReligia§!: Gelug;§HReligión§!: Budista Gelugpa;;;;;;§HReligião§!: Budista Gelug;§HĞåëèãèÿ§!: Ãåëóãïà;;x
zzz_religion_generic_pagan;§HReligion§!: Pagan;§HReligion§!: Païens;§HReligion§!: Heidnisch;§HReligia§!: Pogañstwo;§HReligión§!: Pagana;;;;;;§HReligião§!: Pagão;§HĞåëèãèÿ§!: ßçû÷åñêèå;;x
zzz_religion_german_pagan;§HReligion§!: Irminism;§HReligion§!: Irministes;§HReligion§!: Iriminisch;§HReligia§!: Irmiñstwo;§HReligión§!: Irminesa;;;;;;§HReligião§!: Irminismo;§HĞåëèãèÿ§!: Èğìèíñêèå;;x
zzz_religion_gnostic;§HReligion§!: Gnosticism;§HReligion§!: Gnostiques;§HReligion§!: Gnostisch;§HReligia§!: Gnostycyzm;§HReligión§!: Gnóstica;;;;;;§HReligião§!: Gnosticismo;§HĞåëèãèÿ§!: Ãíîñòè÷åñêèå;;x
zzz_religion_hellenic_pagan;§HReligion§!: Hellenic;§HReligion§!: Helléniques;§HReligion§!: Hellenisch;§HReligia§!: Helleñstwo;§HReligión§!: Helénica;;;;;;§HReligião§!: Helênico;§HĞåëèãèÿ§!: İëëèíèñòè÷åñêèå;;x
zzz_religion_hetanism;§HReligion§!: Theodism;§HReligion§!: Theodistes;§HReligion§!: Theodisch;§HReligia§!: Teodistwo;§HReligión§!: Teodista;;;;;;§HReligião§!: Teodista;§HĞåëèãèÿ§!: Òåîäèñêèå;;x
zzz_religion_hindu;§HReligion§!: Hindu;§HReligion§!: Hindous;§HReligion§!: Hindu;§HReligia§!: Hinduizm;§HReligión§!: Hindú;;;;;;§HReligião§!: Hindu;§HĞåëèãèÿ§!: Èíäàèñòû;;x
zzz_religion_hurufi;§HReligion§!: Hurufi;§HReligion§!: Hurufites;§HReligion§!: Hurufi;§HReligia§!: Hurufijja;§HReligión§!: Hurufí;;;;;;§HReligião§!: Hurufi;§HĞåëèãèÿ§!: Õóğóôèòû;;x
zzz_religion_hussite;§HReligion§!: Hussite;§HReligion§!: Hussites;§HReligion§!: Hussitisch;§HReligia§!: Husytyzm;§HReligión§!: Husita;;;;;;§HReligião§!: Hussita;§HĞåëèãèÿ§!: Ãóñòèû;;x
zzz_religion_ibadi;§HReligion§!: Ibadi;§HReligion§!: Ibadites;§HReligion§!: Ibadit;§HReligia§!: Ibadytyzm;§HReligión§!: Ibadí;;;;;;§HReligião§!: Ibadi;§HĞåëèãèÿ§!: Èáàäèòû;;x
zzz_religion_iberian_pagan;§HReligion§!: Iberian;§HReligion§!: Ibériques;§HReligion§!: Iberisch;§HReligia§!: Iberyjstwo;§HReligión§!: Ibérica;;;;;;§HReligião§!: Ibérico;§HĞåëèãèÿ§!: Èáåğèéñêèå;;x
zzz_religion_iconoclast;§HReligion§!: Iconoclast;§HReligion§!: Iconoclastes;§HReligion§!: Ikonoklastisch;§HReligia§!: Ikonoklazm;§HReligión§!: Iconoclasta;;;;;;§HReligião§!: Iconoclasta;§HĞåëèãèÿ§!: Èêîíîáîğ÷åñêèå;;x
zzz_religion_inca_reformed;§HReligion§!: Incan;§HReligion§!: Incas;§HReligion§!: Inkaisch;§HReligia§!: Inkajstwo;§HReligión§!: Inca;;;;;;§HReligião§!: Inca;§HĞåëèãèÿ§!: Èíêè;;x
zzz_religion_inti;§HReligion§!: Inti;§HReligion§!: Intis;§HReligion§!: Intis Kultisch;§HReligia§!: Intistwo;§HReligión§!: Inti;;;;;;§HReligião§!: Inti;§HĞåëèãèÿ§!: Èíòè;;x
zzz_religion_jain;§HReligion§!: Jain;§HReligion§!: Jaïnistes;§HReligion§!: Dschainisch;§HReligia§!: Dÿinizm;§HReligión§!: Jainista;;;;;;§HReligião§!: Jain;§HĞåëèãèÿ§!: Äæàéíñêèå;;x
zzz_religion_jewish;§HReligion§!: Jewish;§HReligion§!: Juifs;§HReligion§!: Jüdisch;§HReligia§!: Judaizm;§HReligión§!: Judía;;;;;;§HReligião§!: Judaico;§HĞåëèãèÿ§!: Æèäîâñêèå;;x
zzz_religion_jewish_heresy;§HReligion§!: Jewish Heresy;§HReligion§!: Hérétiques Juifs;§HReligion§!: Jüdisch Ketzerisch;§HReligia§!: ¯ydowskie Kacerstwo;§HReligión§!: Herética Judía;;;;;;§HReligião§!: Heresia Judaica;§HĞåëèãèÿ§!: Æèäîâñêèå Åğåòèêè;;x
zzz_religion_karaite;§HReligion§!: Karaite;§HReligion§!: Karaïtes;§HReligion§!: Karait;§HReligia§!: Karaimizm;§HReligión§!: Caraíta;;;;;;§HReligião§!: Caraíta;§HĞåëèãèÿ§!: Êàğàèìñêèå;;x
zzz_religion_kemetic;§HReligion§!: Kemetism;§HReligion§!: Kémétistes;§HReligion§!: Kemetisch;§HReligia§!: Kemetyzm;§HReligión§!: Kemética;;;;;;§HReligião§!: Kemetismo;§HĞåëèãèÿ§!: Êåìåòè÷åñêèå;;x
zzz_religion_kharijite;§HReligion§!: Kharijite;§HReligion§!: Kharidjites;§HReligion§!: Charidschit;§HReligia§!: Charyd¿yzm;§HReligión§!: Kariyí;;;;;;§HReligião§!: Kharijite;§HĞåëèãèÿ§!: Õàğèäæèòû;;x
zzz_religion_lollard;§HReligion§!: Lollard;§HReligion§!: Lollards;§HReligion§!: Lollard;§HReligia§!: Lollardzi;§HReligión§!: Lolarda;;;;;;§HReligião§!: Lollard;§HĞåëèãèÿ§!: Ëîëëàğäû;;x
zzz_religion_mahayana;§HReligion§!: Mahayana;§HReligion§!: Mahayana;§HReligion§!: Mahayana;§HReligia§!: Mahayana;§HReligión§!: Budista Mahayana;;;;;;§HReligião§!: Budista Maaiana;§HĞåëèãèÿ§!: Ìàõàÿíà;;x
zzz_religion_manichean;§HReligion§!: Manichean;§HReligion§!: Manichéens;§HReligion§!: Manichäisch;§HReligia§!: Manicheizm;§HReligión§!: Maniquea;;;;;;§HReligião§!: Maniquean;§HĞåëèãèÿ§!: Ìàíèõåéñêèå;;x
zzz_religion_mardukism;§HReligion§!: Mardukism;§HReligion§!: Mardoukistes;§HReligion§!: Mardukisch;§HReligia§!: Mardukstwo;§HReligión§!: Mardukí;;;;;;§HReligião§!: Mardukism;§HĞåëèãèÿ§!: Ìàğäóêñêèå;;x
zzz_religion_mayan;§HReligion§!: Mayan;§HReligion§!: Mayan;§HReligion§!: Maya;§HReligia§!: Mayan;§HReligión§!: Mayan;;;;;;§HReligião§!: Mayan;§HĞåëèãèÿ§!: ìàéÿ;;x
zzz_religion_mazdaki;§HReligion§!: Mazdaki;§HReligion§!: Mazdakistes;§HReligion§!: Mazdakitisch;§HReligia§!: Mazdakijstwo;§HReligión§!: Mazdakí;;;;;;§HReligião§!: Mazdaki;§HĞåëèãèÿ§!: Ìàçäàêèòñêèå;;x
zzz_religion_megalithic;§HReligion§!: Megalithic;§HReligion§!: Megalithic;§HReligion§!: Megalithisch;§HReligia§!: Megalithic;§HReligión§!: Megalithic;;;;;;§HReligião§!: Megalithic;§HĞåëèãèÿ§!: Ìåãàëèòè÷åñêèé;;x
zzz_religion_messalian;§HReligion§!: Messalian;§HReligion§!: Messaliens;§HReligion§!: Messalianisch;§HReligia§!: Messalianie;§HReligión§!: Euquita;;;;;;§HReligião§!: Messalian;§HĞåëèãèÿ§!: Ìåññàëèàíñêèå;;x
zzz_religion_mithraism;§HReligion§!: Mithraism;§HReligion§!: Mithraïstes;§HReligion§!: Mithraskultisch;§HReligia§!: Mitraizm;§HReligión§!: Mitraica;;;;;;§HReligião§!: Mitraísmo;§HĞåëèãèÿ§!: Ìèòğàèñòñêèå;;x
zzz_religion_monophysite;§HReligion§!: Monophysite;§HReligion§!: Monophysites;§HReligion§!: Monophysitisch;§HReligia§!: Monofizytyzm;§HReligión§!: Monofisita;;;;;;§HReligião§!: Monofisita;§HĞåëèãèÿ§!: Ìîíîôèçèòñêèå;;x
zzz_religion_monothelite;§HReligion§!: Monothelite;§HReligion§!: Monothélites;§HReligion§!: Monotheletisch;§HReligia§!: Monoteletyzm;§HReligión§!: Monotelista;;;;;;§HReligião§!: Monotelita;§HĞåëèãèÿ§!: Ìîíîôåëèñêèå;;x
zzz_religion_muism;§HReligion§!: Muism;§HReligion§!: Muistes;§HReligion§!: Mu;§HReligia§!: Muijstwo;§HReligión§!: Muí;;;;;;§HReligião§!: Muismo;§HĞåëèãèÿ§!: Ìóñîêû;;x
zzz_religion_nahuatl;§HReligion§!: Nahuatl;§HReligion§!: Nahuatles;§HReligion§!: Nahuatl;§HReligia§!: Nahuatlstwo;§HReligión§!: Náhuatl;;;;;;§HReligião§!: Náuatl;§HĞåëèãèÿ§!: Íàóàòëü;;x
zzz_religion_nestorian;§HReligion§!: Nestorian;§HReligion§!: Nestoriens;§HReligion§!: Nestorianisch;§HReligia§!: Nestorianizm;§HReligión§!: Nestorianista;;;;;;§HReligião§!: Nestoriano;§HĞåëèãèÿ§!: Íåñòîğèàíñêèå;;x
zzz_religion_noreligion;§HReligion§!: Atheist;§HReligion§!: Athéistes;§HReligion§!: Atheistisch;§HReligia§!: Bezbo¿noœæ;§HReligión§!: Atea;;;;;;§HReligião§!: Ateu;§HĞåëèãèÿ§!: Àòåèñòè;;x
