albanian_rename_epirus_title;$COUNTRY_ADJ$ Province of Epirus;$COUNTRY_ADJ$ Province d'Épire;$COUNTRY_ADJ$ Provinz von Epirus;$COUNTRY_ADJ$ Prowincja Epiru;$COUNTRY_ADJ$ Provincia de Epiro;$COUNTRY_ADJ$ Provincia dell'Epiro;$COUNTRY_ADJ$ Epirus tartomány;$COUNTRY_ADJ$ provincii Epirus;$COUNTRY_ADJ$ Epirus tartomány;$COUNTRY_ADJ$ provincie Epirus;$COUNTRY_ADJ$ Province of Epirus;$COUNTRY_ADJ$ Ïğîâèíöèÿ İïèğ;$COUNTRY_ADJ$ Epiruksen maakunta;x
dalmatia_rename_ser_title;$COUNTRY_ADJ$ Province of Dalmacija;$COUNTRY_ADJ$ Province de Dalmacija;$COUNTRY_ADJ$ Provinz Dalmacija;$COUNTRY_ADJ$ Prowincja Dalmacija;$COUNTRY_ADJ$ Provincia de Dalmacija;$COUNTRY_ADJ$ Provincia di Dalmacija;$COUNTRY_ADJ$ Dalmacija tartomány;$COUNTRY_ADJ$ Provincie Dalmacija;$COUNTRY_ADJ$ Dalmacija tartomány;$COUNTRY_ADJ$ Provincie Dalmacija;$COUNTRY_ADJ$ Province of Dalmacija;$COUNTRY_ADJ$ Ïğîâèíöèÿ Äàëìàöèÿ;$COUNTRY_ADJ$ Dalmatian maakunta;x
dalmatia_rename_ser_desc;$COUNTRY$ finally conquered the Province of Dalmacija, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Dalmacija, mais les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ hat schließlich die Provinz Dalmacija erobert, aber die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Dalmacija, jednak lokalne nazwy s¹ nam ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Dalmacija, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la Provincia di Dalmazia, eppure i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította a Dalmacija tartományt, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Dalmacija, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította a Dalmacija tartományt, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Dalmacija, maar de lokale namen zijn volledig buitenlands voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província de Dalmacija, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Äàëìàöèÿ, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ voitti lopulta Dalmatian maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
east_galicia_rename_german_title;$COUNTRY_ADJ$ Province of Ost-Galizien;$COUNTRY_ADJ$ Province d'Ost-Galizien;$COUNTRY_ADJ$ Provinz Ost-Galizien;$COUNTRY_ADJ$ Prowincja Ost-Galizien;$COUNTRY_ADJ$ Provincia de Ost-Galizien;$COUNTRY_ADJ$ Provincia di Ost-Galizien;$COUNTRY_ADJ$ tartomány Ost-Galizien tartomány;$COUNTRY_ADJ$ provincie Ost-Galizien;$COUNTRY_ADJ$ tartomány Ost-Galizien tartomány;$COUNTRY_ADJ$ Provincie Ost-Galizien;$COUNTRY_ADJ$ Província de Ost-Galizien;$COUNTRY_ADJ$ Ïğîâèíöèÿ Îñò-Ãàëèçèí;$COUNTRY_ADJ$ Provinz Ost-Galizien;x
east_galicia_rename_german_desc;$COUNTRY$ finally conquered the Province of Ost-Galizien, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province d'Ost-Galizien, mais les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ eroberte schließlich die Provinz Ost-Galizien, doch die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Ost-Galizien, ale lokalne nazwy s¹ dla nas ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Ost-Galizien, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la provincia di Ost-Galizien, ma i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította az Ost-Galizien tartományt, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Ost-Galizien, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította az Ost-Galizien tartományt, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Ost-Galizien, maar de lokale namen zijn ons volkomen vreemd. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a Província de Ost-Galizien, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Îñò-Ãàëèçèíü, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ lopulta voitti Ost-Galizienin maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
east_galicia_rename_polish_title;$COUNTRY_ADJ$ Province of Galicja Wschodnia;$COUNTRY_ADJ$ Province de Galicja Wschodnia;$COUNTRY_ADJ$ Provinz von Galicja Wschodnia;$COUNTRY_ADJ$ Prowincja Galicja Wschodnia;$COUNTRY_ADJ$ Provincia de Galicja Wschodnia;$COUNTRY_ADJ$ Provincia di Galicja Wschodnia;$COUNTRY_ADJ$ Galicja Wschodnia tartomány;$COUNTRY_ADJ$ Provincie Galicja Wschodnia;$COUNTRY_ADJ$ Galicja Wschodnia tartomány;$COUNTRY_ADJ$ Provincie van Galicja Wschodnia;$COUNTRY_ADJ$ Província de Galicja Wschodnia;$COUNTRY_ADJ$ Ïğîâèíöèÿ Ãàëèöèÿ Wschodnia;$COUNTRY_ADJ$ Galicja Wschodnia;x
east_galicia_rename_polish_desc;$COUNTRY$ finally conquered the Province of Galicja Wschodnia, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Galicja Wschodnia, mais les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ eroberte schließlich die Provinz Galicja Wschodnia, doch die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o Prowincjê Galicja Wschodnia, ale lokalne nazwy s¹ nam ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la provincia de Galicja Wschodnia, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la provincia di Galicja Wschodnia, ma i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította a Galicja Wschodnia tartományt, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Galicja Wschodnia, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította a Galicja Wschodnia tartományt, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Galicja Wschodnia, maar de lokale namen zijn volledig buitenlands voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a Província de Galicja Wschodnia, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Ãàëè÷à Wschodnia, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ lopulta voitti Galicja Wschodnian maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
east_galicia_rename_rus_title;$COUNTRY_ADJ$ Province of Skhidna Halychyna;$COUNTRY_ADJ$ Province de Skhidna Halychyna;$COUNTRY_ADJ$ Provinz Skhidna Halytschyna;$COUNTRY_ADJ$ Prowincja Skhidna Halychyna;$COUNTRY_ADJ$ Provincia de Skhidna Halychyna;$COUNTRY_ADJ$ Provincia di Skhidna Halychyna;$COUNTRY_ADJ$ Skhidna Halychyna tartomány;$COUNTRY_ADJ$ Provincie Skhidna Halychyna;$COUNTRY_ADJ$ Skhidna Halychyna tartomány;$COUNTRY_ADJ$ Provincie Skhidna Halychyna;$COUNTRY_ADJ$ Província de Skhidna Halychyna;$COUNTRY_ADJ$ Ïğîâèíöèÿ Ñõèäíà Ãàëè÷èíà;$COUNTRY_ADJ$ Provinsi Skhidna Halychyna;x
east_galicia_rename_rus_desc;$COUNTRY$ finally conquered the Province of Skhidna Halychyna, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Skhidna Halychyna, mais les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ eroberte schließlich die Provinz Skhidna Halytschyna, doch die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Skhidna Halychyna, ale lokalne nazwy s¹ dla nas ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Skhidna Halychyna, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la provincia di Skhidna Halychyna, ma i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította Skhidna Halychyna tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Skhidna Halychyna, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította Skhidna Halychyna tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Skhidna Halychyna, maar de lokale namen zijn volledig vreemd voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província de Skhidna Halychyna, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Ñõèäíà Ãàëè÷èíà, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ vihdoin voitti Skhidna Halychynan maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
estonia_rename_title;$COUNTRY_ADJ$ Province of Estonia;$COUNTRY_ADJ$ Province d'Estonie;$COUNTRY_ADJ$ Provinz von Estland;$COUNTRY_ADJ$ Prowincja Estonii;$COUNTRY_ADJ$ Provincia de Estonia;$COUNTRY_ADJ$ Provincia di Estonia;$COUNTRY_ADJ$ Észtország tartomány;$COUNTRY_ADJ$ Estonská provincie;$COUNTRY_ADJ$ Észtország tartomány;$COUNTRY_ADJ$ Provincie Estland;$COUNTRY_ADJ$ Província da Estônia;$COUNTRY_ADJ$ Ïğîâèíöèÿ İñòîíèÿ;$COUNTRY_ADJ$ Virossa;x
estonia_rename_desc;$COUNTRY$ finally conquered the Province of Estonia, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province d'Estonie, mais les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ eroberte schließlich die Provinz von Estland, aber die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Estonii, ale lokalne nazwy s¹ dla nas ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Estonia, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la provincia estone, ma i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította Észtország tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Estonsko, ale místní názvy jsou pro nás zcela cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította Észtország tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Estland, maar de lokale namen zijn volledig vreemd voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província da Estônia, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş İñòîíèè, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ vihdoin valloitti Viron maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
france_rename_rhine_title;$COUNTRY_ADJ$ Province of Rhénanie;$COUNTRY_ADJ$ Province de Rhénanie;$COUNTRY_ADJ$ Provinz von Rhénanie;$COUNTRY_ADJ$ Province of Rhénanie;$COUNTRY_ADJ$ Provincia de Rhôneie;$COUNTRY_ADJ$ Province of Rhénanie;$COUNTRY_ADJ$ Province of Rhénanie;$COUNTRY_ADJ$ Provincie Rhénanie;$COUNTRY_ADJ$ Province of Rhénanie;$COUNTRY_ADJ$ Provincie Rhénanie;$COUNTRY_ADJ$ Província de Rhénanie;$COUNTRY_ADJ$ Ïğîâèíöèÿ Ğåíàíè;$COUNTRY_ADJ$ Province of Rhénanie;x
france_rename_rhine_desc;$COUNTRY$ finally conquered the Province of Rhénanie, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Rhénanie, pourtant les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ hat schließlich die Provinz Rhénanie erobert, aber die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Rhénanie, ale lokalne nazwy s¹ nam ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Rhénanie, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la Provincia di Rhénanie, eppure i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította Rhénanie tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ koneènì dobyl provincii Rhénanie, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította Rhénanie tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ heeft uiteindelijk de Provincie Rhénanie veroverd, maar de lokale namen zijn volledig vreemd voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província de Rhénanie, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Ğåíàíè, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ lopulta valloitti Rhénanie-maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
french_renamed_savoy_aosta_title;$COUNTRY_ADJ$ Province of Savoie et Aoste;$COUNTRY_ADJ$ Province de Savoie et Aoste;$COUNTRY_ADJ$ Provinz Savoie et Aoste;$COUNTRY_ADJ$ Prowincja Savoie et Aoste;$COUNTRY_ADJ$ Provincia de Saboya y Aosta;$COUNTRY_ADJ$ Provincia di Savoia et Aoste;$COUNTRY_ADJ$ tartomány Savoie és Aoste;$COUNTRY_ADJ$ provincie Savoie a Aoste;$COUNTRY_ADJ$ tartomány Savoie és Aoste;$COUNTRY_ADJ$ Provincie Savoie et Aoste;$COUNTRY_ADJ$ Província de Sabóia e Aosta;$COUNTRY_ADJ$ Ïğîâèíöèÿ Ñàâîéÿ è Àîñòå;$COUNTRY_ADJ$ Savon ja Aosten maakunta;x
french_renamed_savoy_aosta_desc;$COUNTRY$ finally conquered the Province of Savoie et Aoste, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Savoie et Aoste, pourtant les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ eroberte schließlich die Provinz Savoie et Aoste, doch die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Savoie et Aoste, ale lokalne nazwy s¹ dla nas ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Saboya y Aosta, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la provincia di Savoie et Aoste, ma i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította a tartomány Savoie et Aoste, de a helyi nevek teljesen idegen nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Savoie et Aoste, ale místní jména jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította a tartomány Savoie et Aoste, de a helyi nevek teljesen idegen nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Savoie et Aoste, maar de lokale namen zijn volledig vreemd voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província de Savoie et Aoste, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Ñàâîéÿ è Àîñòå, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ voitti lopulta Savoie et Aosten maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
galicia_rename_german_title;$COUNTRY_ADJ$ Province of Galizien;$COUNTRY_ADJ$ Province de Galizien;$COUNTRY_ADJ$ Provinz von Galizien;$COUNTRY_ADJ$ Prowincja Galizien;$COUNTRY_ADJ$ Provincia de Galizien;$COUNTRY_ADJ$ Provincia di Galizien;$COUNTRY_ADJ$ Galizien tartomány;$COUNTRY_ADJ$ provincie Galizien;$COUNTRY_ADJ$ Galizien tartomány;$COUNTRY_ADJ$ Provincie Galizien;$COUNTRY_ADJ$ Província de Galizien;$COUNTRY_ADJ$ Ïğîâèíöèÿ Ãàëèçèíü;$COUNTRY_ADJ$ Galizienin maakunta;x
galicia_rename_german_desc;$COUNTRY$ finally conquered the Province of Galizien, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Galizien, mais les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ eroberte schließlich die Provinz Galizien, doch die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Galizien, ale lokalne nazwy s¹ dla nas ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Galizien, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la provincia di Galizien, eppure i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította Galizien tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ nakonec dobyl provincii Galizien, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította Galizien tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Galizien, maar de lokale namen zijn volledig vreemd voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província de Galizien, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Ãàëèçèíü, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ lopulta valloitti Galizienin maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
german_lombardy_title;$COUNTRY_ADJ$ Province of Lombardei;$COUNTRY_ADJ$ Province de Lombardie;$COUNTRY_ADJ$ Provinz von Lombardei;$COUNTRY_ADJ$ Prowincja Lombardei;$COUNTRY_ADJ$ Provincia de Lombardei;$COUNTRY_ADJ$ Provincia di Lombardei;$COUNTRY_ADJ$ Lombardei tartomány;$COUNTRY_ADJ$ provincie Lombardie;$COUNTRY_ADJ$ Lombardei tartomány;$COUNTRY_ADJ$ Provincie Lombardei;$COUNTRY_ADJ$ Província de Lombardei;$COUNTRY_ADJ$ Ïğîâèíöèÿ Ëîìáàğäèÿ;$COUNTRY_ADJ$ Lombardian maakunta;x
german_lombardy_desc;$COUNTRY$ finally conquered the Province of Lombardei, yet the local names are completely foreign to us. Our bureaucrats suggested some little changes to the map.;$COUNTRY$ a finalement conquis la province de Lombardei, pourtant les noms locaux nous sont complètement étrangers. Nos bureaucrates ont suggéré quelques petits changements à la carte.;$COUNTRY$ hat schließlich die Provinz Lombardei erobert, aber die lokalen Namen sind uns völlig fremd. Unsere Bürokraten haben einige kleine Änderungen an der Karte vorgeschlagen.;$COUNTRY$ ostatecznie podbi³o prowincjê Lombardei, ale lokalne nazwy s¹ dla nas ca³kowicie obce. Nasi biurokraci zaproponowali kilka drobnych zmian na mapie.;$COUNTRY$ finalmente conquistó la Provincia de Lombardei, sin embargo, los nombres locales son completamente ajenos a nosotros. Nuestros burócratas sugirieron algunos pequeños cambios en el mapa.;$COUNTRY$ ha finalmente conquistato la Provincia di Lombardei, eppure i nomi locali ci sono completamente estranei. I nostri burocrati hanno suggerito alcune piccole modifiche alla mappa.;$COUNTRY$ végül meghódította Lombardia tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ koneènì dobyl provincii Lombardie, ale místní názvy jsou pro nás úplnì cizí. Naši byrokraté navrhli nìkteré zmìny na mapì.;$COUNTRY$ végül meghódította Lombardia tartományát, de a helyi nevek teljesen idegenek nekünk. A bürokráciánk néhány apró változtatást javasoltak a térképen.;$COUNTRY$ veroverde uiteindelijk de provincie Lombardei, maar de lokale namen zijn volledig vreemd voor ons. Onze bureaucraten stelden enkele kleine wijzigingen in de kaart voor.;$COUNTRY$ finalmente conquistou a província de Lombardei, mas os nomes locais são completamente estranhos para nós. Nossos burocratas sugeriram algumas pequenas mudanças no mapa.;$COUNTRY$ îêîí÷àòåëüíî çàâîåâàëà ïğîâèíöèş Ëîìáàğäåé, íî ìåñòíûå èìåíà ïîëíîñòüş ÷óæäû íàì. Íàøè áşğîêğàòû ïğåäëîæèëè íåêîòîğûå íåáîëüøèå èçìåíåíèÿ íà êàğòå.;$COUNTRY$ lopulta valloitti Lombardin maakunnan, mutta paikalliset nimet ovat täysin vieraita meille. Meidän byrokraatit ehdottivat pieniä muutoksia kartalle.;x
